Quarter,Time,Down,ToGo,Location,ATL,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Lawrence Tynes kicks off 60 yards, returned by Allen Rossum for 27 yards (tackle by Keyaron Fox)",0.000,1.400
1,14:53,1,10,ATL 37,0,0,Warrick Dunn up the middle for 3 yards (tackle by John Browning),1.400,1.260
1,14:17,2,7,ATL 40,0,0,"Warrick Dunn left end for 3 yards (tackle by Monty Beisel). Penalty on Shawn Barber: Unnecessary Roughness, 15 yards",1.260,2.790
1,13:48,1,10,KAN 42,0,0,Michael Vick pass complete to Justin Griffith for 1 yard (tackle by Shawn Barber),2.790,2.380
1,13:14,2,9,KAN 41,0,0,Michael Vick up the middle for 32 yards (tackle by Greg Wesley),2.380,5.140
1,12:45,1,9,KAN 9,0,0,Michael Vick for 8 yards,5.140,5.910
1,12:23,2,1,KAN 1,0,0,Michael Vick pass incomplete intended for Alge Crumpler,5.910,5.170
1,12:19,3,1,KAN 1,0,0,Michael Vick pass incomplete (defended by Shawn Barber),5.170,3.550
1,12:19,4,1,KAN 1,3,0,Jay Feely 19 yard field goal good,3.550,3.000
1,,,,ATL 30,3,0,"Jay Feely kicks off 55 yards, returned by Dante Hall for 12 yards (tackle by Bryan Scott)",0.000,0.740
1,12:08,1,10,KAN 27,3,0,"Priest Holmes up the middle for 5 yards (tackle by Ed Jasper). Priest Holmes fumbles (forced by Ed Jasper), recovered by Ed Jasper at KAN-32",0.740,-3.510
1,12:00,1,10,KAN 31,3,0,Warrick Dunn left end for -1 yards (tackle by Lional Dalton),3.510,2.830
1,11:29,2,11,KAN 32,3,0,Michael Vick pass incomplete intended for Justin Griffith,2.830,2.150
1,11:25,3,11,KAN 32,3,0,Michael Vick pass incomplete intended for Peerless Price,2.150,1.240
1,11:18,4,11,KAN 32,3,0,Michael Vick pass incomplete intended for Peerless Price,1.240,-1.070
1,11:15,1,10,KAN 32,3,0,Priest Holmes up the middle for 3 yards (tackle by Matt Stewart),1.070,0.930
1,10:40,2,7,KAN 35,3,0,Trent Green pass complete to Dante Hall for 9 yards (tackle by Kevin McCadam),0.930,1.860
1,9:59,1,10,KAN 44,3,0,Trent Green pass complete to Johnnie Morton for 9 yards (tackle by Jason Webster),1.860,2.530
1,9:53,2,1,ATL 47,3,0,Dante Hall left end for 12 yards (tackle by Kevin McCadam),2.530,3.250
1,9:15,1,10,ATL 35,3,0,Priest Holmes for 4 yards,3.250,3.240
1,8:50,2,6,ATL 31,3,0,Priest Holmes up the middle for 16 yards (tackle by Kevin Mathis),3.240,4.580
1,8:11,1,10,ATL 15,3,6,"Priest Holmes left end for 15 yards, touchdown",4.580,7.000
1,,,,ATL 2,3,7,Lawrence Tynes kicks extra point good,0.000,0.000
1,,,,KAN 30,3,7,"Lawrence Tynes kicks off 70 yards, touchback",0.000,0.280
1,8:03,1,10,ATL 20,3,7,"T.J. Duckett right end for 8 yards (tackle by Eric Warfield). Penalty on Kevin Shaffer: Chop Block (Offsetting), Penalty on Monty Beisel: Unnecessary Roughness (Offsetting) (no play)",0.280,0.280
1,7:41,1,10,ATL 20,3,7,T.J. Duckett up the middle for 1 yard (tackle by Monty Beisel),0.280,-0.130
1,7:06,2,9,ATL 21,3,7,Michael Vick pass incomplete intended for Peerless Price (defended by Eric Warfield),-0.130,-0.820
1,7:01,3,9,ATL 21,3,7,Michael Vick sacked by John Browning and Monty Beisel for -5 yards,-0.820,-2.390
1,7:01,4,14,ATL 16,3,7,"Chris Mohr punts 42 yards, returned by Dante Hall for 11 yards (tackle by Demorrio Williams)",-2.390,-2.460
1,6:35,1,10,ATL 47,3,7,Priest Holmes left tackle for 3 yards (tackle by Matt Stewart),2.460,2.320
1,6:00,2,7,ATL 44,3,7,Trent Green pass complete to Priest Holmes for 2 yards (tackle by Ed Jasper),2.320,1.880
1,5:17,3,5,ATL 42,3,7,Trent Green pass incomplete intended for Eddie Kennison,1.880,0.460
1,5:17,4,5,ATL 42,3,7,"Stephen Cheek punts 42 yards, touchback",0.460,-0.280
1,5:05,1,10,ATL 20,3,7,Michael Vick pass complete to Alge Crumpler for 14 yards,0.280,1.200
1,4:43,1,10,ATL 34,3,7,Michael Vick up the middle for 3 yards (tackle by Vonnie Holliday and Monty Beisel),1.200,1.060
1,4:12,2,7,ATL 37,3,7,Warrick Dunn up the middle for 9 yards (tackle by Greg Wesley),1.060,1.990
1,3:33,1,10,ATL 46,3,7,"Michael Jenkins right end for 9 yards (tackle by Jerome Woods). Penalty on Todd Weiner: Personal Foul, 15 yards (no play)",1.990,1.000
1,2:41,1,25,ATL 31,3,7,Michael Vick pass incomplete intended for Peerless Price is intercepted by Greg Wesley at KAN-49,1.000,-2.190
1,2:35,1,10,KAN 49,3,7,"Trent Green pass incomplete intended for Johnnie Morton. Penalty on Willie Roaf: Illegal Formation, 5 yards (no play)",2.190,1.860
1,2:30,1,15,KAN 44,3,7,Priest Holmes left end for 16 yards (tackle by Jason Webster),1.860,2.920
1,2:02,1,10,ATL 40,3,7,Trent Green pass complete to Priest Holmes for 33 yards (tackle by Jason Webster),2.920,5.600
1,1:14,1,7,ATL 7,3,13,"Derrick Blaylock left end for 7 yards, touchdown",5.600,7.000
1,,,,ATL 2,3,14,Lawrence Tynes kicks extra point good,0.000,0.000
1,,,,KAN 30,3,14,"Lawrence Tynes kicks off 72 yards, returned by Allen Rossum for 23 yards (tackle by Derrick Blaylock)",0.000,0.340
1,1:02,1,10,ATL 21,3,14,Michael Vick pass complete to Peerless Price for 4 yards (tackle by William Bartee),0.340,0.340
1,0:35,2,6,ATL 25,3,14,Warrick Dunn right tackle for 5 yards (tackle by Eric Hicks),0.340,0.300
Quarter,Time,Down,ToGo,Location,ATL,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,ATL 30,3,14,Michael Vick pass incomplete intended for Dez White,0.300,-1.370
2,14:56,4,1,ATL 30,3,14,Chris Mohr punts 43 yards,-1.370,-0.740
2,14:48,1,10,KAN 27,3,14,Priest Holmes left end for 15 yards (tackle by Jason Webster),0.740,1.730
2,14:09,1,10,KAN 42,3,14,Derrick Blaylock up the middle for 7 yards (tackle by Demorrio Williams),1.730,2.130
