Quarter,Time,Tm,Detail,DEN,NYJ
1.0,12:53,Broncos,Brandon McManus 37 yard field goal,3,0
,4:16,Jets,Jace Amaro 2 yard pass from Geno Smith (Nick Folk kick),3,7
2.0,5:50,Broncos,Demaryius Thomas 1 yard pass from Peyton Manning (Brandon McManus kick),10,7
,0:27,Broncos,Julius Thomas 22 yard pass from Peyton Manning (Brandon McManus kick),17,7
3.0,8:08,Broncos,Julius Thomas 4 yard pass from Peyton Manning (Brandon McManus kick),24,7
,0:36,Jets,Nick Folk 30 yard field goal,24,10
4.0,7:56,Jets,Eric Decker 2 yard pass from Geno Smith (Nick Folk kick),24,17
,0:15,Broncos,Aqib Talib 22 yard interception return (Brandon McManus kick),31,17
