Unnamed: 0,NOR,ATL
First Downs,19,21
Rush-Yds-TDs,28-141-1,33-186-1
Cmp-Att-Yd-TD-INT,19-34-189-1-2,16-29-212-2-1
Sacked-Yards,4-24,2-2
Net Pass Yards,165,210
Total Yards,306,396
Fumbles-Lost,1-0,1-1
Turnovers,2,2
Penalties-Yards,5-25,6-46
Third Down Conv.,6-16,4-11
Fourth Down Conv.,1-2,1-1
Time of Possession,32:00,28:00
