Quarter,Time,Tm,Detail,NOR,ATL
1.0,7:36,Falcons,Michael Vick 16 yard rush (Jay Feely kick),0,7
2.0,12:26,Falcons,Stanley Pritchett 1 yard pass from Michael Vick (Jay Feely kick),0,14
,9:21,Saints,John Carney 48 yard field goal,3,14
,6:22,Saints,John Carney 38 yard field goal,6,14
,0:00,Falcons,Jay Feely 31 yard field goal,6,17
3.0,2:18,Saints,Aaron Brooks 1 yard rush (Joe Horn pass from Aaron Brooks),14,17
4.0,11:56,Saints,Joe Horn 7 yard pass from Aaron Brooks (John Carney kick),21,17
,1:22,Falcons,Alge Crumpler 20 yard pass from Michael Vick (Jay Feely kick),21,24
