Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Darrell Henderson,LAR,8,5,0,,-3,-0.4,8,1.0,0,
Cam Akers,LAR,5,15,0,1,7,1.4,8,1.6,0,
Malcolm Brown,LAR,3,20,0,,16,5.3,4,1.3,0,
Robert Woods,LAR,2,-4,0,0,-5,-2.5,1,0.5,0,
Jared Goff,LAR,1,0,0,0,0,0.0,0,0.0,0,
Tyler Higbee,LAR,1,1,0,,1,1.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Ronald Jones II,TAM,10,24,0,1,18,1.8,6,0.6,0,
Leonard Fournette,TAM,7,17,1,3,8,1.1,9,1.3,0,
Antonio Brown,TAM,1,1,0,0,1,1.0,0,0.0,0,
