Quarter,Time,Down,ToGo,Location,LAR,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,TAM 25,0,0,Ronald Jones left guard for no gain (tackle by Micah Kiser and Michael Brockers),0.610,0.060
1,14:24,2,10,TAM 25,0,0,Tom Brady pass complete short left to Antonio Brown for 6 yards (tackle by Jordan Fuller),0.060,0.170
1,13:44,3,4,TAM 31,0,0,Tom Brady pass complete short middle to Antonio Brown for 7 yards (tackle by Jordan Fuller),0.170,1.470
1,13:10,1,10,TAM 38,0,0,Ronald Jones up the middle for 2 yards (tackle by Leonard Floyd and Michael Brockers),1.470,1.190
1,12:35,2,8,TAM 40,0,0,Ronald Jones right guard for 1 yard (tackle by Troy Hill),1.190,0.630
1,12:00,3,7,TAM 41,0,0,Tom Brady pass incomplete short left intended for Mike Evans,0.630,-0.650
1,11:56,4,7,TAM 41,0,0,"Bradley Pinion punts 59 yards, touchback.",-0.650,-0.280
1,11:47,1,10,LAR 20,0,0,Jared Goff pass complete short middle to Cooper Kupp for 5 yards (tackle by Lavonte David),0.280,0.410
1,11:08,2,5,LAR 25,0,0,Darrell Henderson right end for 4 yards (tackle by Jordan Whitehead and Devin White),0.410,0.230
1,10:25,3,1,LAR 29,0,0,Jared Goff pass complete short left to Gerald Everett for 6 yards (tackle by Antoine Winfield),0.230,1.270
1,9:40,1,10,LAR 35,0,0,Darrell Henderson left end for 2 yards (tackle by Devin White and Jason Pierre-Paul),1.270,0.990
1,8:58,2,8,LAR 37,0,0,Jared Goff pass complete short middle to Cooper Kupp for 8 yards (tackle by Devin White and Sean Murphy-Bunting),0.990,1.930
1,8:22,1,10,LAR 45,0,0,Jared Goff pass complete short left to Cooper Kupp for 5 yards (tackle by Devin White),1.930,2.060
1,7:44,2,5,LAR 50,0,0,Tyler Higbee left end for 1 yard (tackle by Jordan Whitehead),2.060,1.490
1,7:01,3,4,TAM 49,0,0,Jared Goff pass complete short middle to Cooper Kupp for 37 yards (tackle by Jamel Dean),1.490,4.780
1,6:17,1,10,TAM 12,0,0,Robert Woods left end for 1 yard (tackle by Jordan Whitehead),4.780,4.270
1,5:40,2,9,TAM 11,0,0,Jared Goff pass complete short right to Cooper Kupp for 7 yards (tackle by Sean Murphy-Bunting),4.270,4.840
1,5:13,3,2,TAM 4,0,0,"Penalty on Devin White: Neutral Zone Infraction, 2 yards (no play)",4.840,6.740
1,4:48,1,2,TAM 2,0,0,Darrell Henderson right end for -2 yards (tackle by Jordan Whitehead),6.740,5.340
1,4:05,2,4,TAM 4,0,0,Jared Goff pass incomplete short right intended for Josh Reynolds,5.340,4.490
1,4:00,3,4,TAM 4,6,0,"Jared Goff pass complete short right to Robert Woods for 4 yards, touchdown",4.490,7.000
1,3:55,,,TAM 15,7,0,Matt Gay kicks extra point good,0.000,0.000
1,3:55,,,LAR 35,7,0,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,3:55,1,10,TAM 25,7,0,Tom Brady pass incomplete short left intended for Ronald Jones,0.610,0.060
1,3:51,2,10,TAM 25,7,0,Tom Brady pass incomplete short left intended for Rob Gronkowski,0.060,-0.620
1,3:44,3,10,TAM 25,7,0,"Tom Brady pass incomplete deep left intended for Mike Evans. Penalty on Jalen Ramsey: Defensive Pass Interference, 20 yards (no play)",-0.620,1.930
1,3:38,1,10,TAM 45,7,0,Tom Brady pass complete short right to Chris Godwin for 6 yards (tackle by Kenny Young and John Johnson),1.930,2.190
1,3:07,2,4,LAR 49,7,0,Ronald Jones right tackle for 2 yards (tackle by John Johnson and Kenny Young),2.190,1.750
1,2:27,3,2,LAR 47,7,0,Tom Brady pass complete short left to Chris Godwin for 7 yards (tackle by Troy Hill),1.750,2.920
1,1:46,1,10,LAR 40,7,0,Ronald Jones left end for 6 yards (tackle by Jalen Ramsey),2.920,3.180
1,1:13,2,4,LAR 34,7,0,Tom Brady pass complete short left to Rob Gronkowski for 16 yards (tackle by Jalen Ramsey),3.180,4.370
1,0:28,1,10,LAR 18,7,0,Ronald Jones left tackle for 5 yards (tackle by Darious Williams),4.370,4.610
Quarter,Time,Down,ToGo,Location,LAR,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,LAR 13,7,0,Tom Brady pass complete short left to Mike Evans for 4 yards (tackle by Jalen Ramsey),4.610,4.740
2,14:19,3,1,LAR 9,7,6,"Tom Brady pass complete short right to Mike Evans for 9 yards, touchdown",4.740,7.000
2,14:10,,,LAR 15,7,7,Ryan Succop kicks extra point good,0.000,0.000
2,14:10,,,TAM 35,7,7,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,14:10,1,10,LAR 25,7,7,Jared Goff pass complete short left to Robert Woods for -1 yards (tackle by Lavonte David),0.610,-0.070
2,13:29,2,11,LAR 24,7,7,Jared Goff pass complete short right to Josh Reynolds for 6 yards (tackle by Shaquil Barrett and Jason Pierre-Paul),-0.070,0.040
2,12:43,3,5,LAR 30,7,7,Jared Goff pass complete short right to Robert Woods for 3 yards (tackle by Carlton Davis),0.040,-1.180
2,12:12,4,2,LAR 33,7,7,"Johnny Hekker punts 43 yards, returned by Kenjon Barner for 8 yards (tackle by Kenny Young)",-1.180,-1.070
2,12:00,1,10,TAM 32,7,7,Tom Brady pass incomplete short right intended for Leonard Fournette,1.070,0.530
2,11:55,2,10,TAM 32,7,7,Tom Brady pass complete short right to Chris Godwin for 4 yards (tackle by John Johnson),0.530,0.370
2,11:18,3,6,TAM 36,7,7,Tom Brady pass complete short right to Cameron Brate for 7 yards (tackle by John Johnson),0.370,1.800
2,10:43,1,10,TAM 43,7,7,Leonard Fournette up the middle for 1 yard (tackle by Troy Hill and Micah Kiser),1.800,1.390
2,10:06,2,9,TAM 44,7,7,Tom Brady pass incomplete deep left intended for Rob Gronkowski (defended by John Johnson),1.390,0.690
2,10:00,3,9,TAM 44,7,7,Tom Brady pass complete short left to Cameron Brate for 9 yards (tackle by Darious Williams),0.690,2.460
2,9:34,1,10,LAR 47,7,7,Tom Brady pass incomplete deep left intended for Mike Evans,2.460,1.910
2,9:28,2,10,LAR 47,7,7,Tom Brady pass complete short right to Antonio Brown for 2 yards (tackle by Troy Hill),1.910,1.490
2,8:52,3,8,LAR 45,7,7,"Tom Brady pass incomplete deep middle intended for Scott Miller. Penalty on Jordan Fuller: Defensive Pass Interference, 25 yards (no play)",1.490,4.240
2,8:46,,,,,,Timeout #1 by Los Angeles Rams,,
2,8:46,1,10,LAR 20,7,7,Tom Brady pass complete short left to Mike Evans for 18 yards (tackle by Jordan Fuller and Jalen Ramsey). Penalty on Jalen Ramsey: Defensive Pass Interference (Declined),4.240,6.740
2,8:38,1,2,LAR 2,7,13,"Leonard Fournette up the middle for 2 yards, touchdown",6.740,7.000
2,8:35,,,LAR 15,7,14,Ryan Succop kicks extra point good,0.000,0.000
2,8:35,,,TAM 35,7,14,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,8:35,1,10,LAR 25,7,14,Jared Goff pass complete short right to Cooper Kupp for 8 yards (tackle by Shaquil Barrett),0.610,1.140
2,7:59,2,2,LAR 33,7,14,Cam Akers left tackle for -1 yards (tackle by Devin White),1.140,0.300
2,7:11,3,3,LAR 32,7,14,Jared Goff pass complete deep left to Robert Woods for 19 yards (tackle by Carlton Davis),0.300,2.320
2,6:51,1,10,TAM 49,7,14,Jared Goff pass complete short right to Tyler Higbee for 7 yards (tackle by Antoine Winfield and Jordan Whitehead),2.320,2.730
2,6:32,2,3,TAM 42,7,14,Jared Goff pass complete short left to Cooper Kupp for 24 yards (tackle by Antoine Winfield and Jamel Dean),2.730,4.370
2,5:51,1,10,TAM 18,7,14,Jared Goff pass incomplete short middle intended for Cooper Kupp,4.370,3.800
2,5:48,2,10,TAM 18,7,14,Jared Goff pass complete short left to Cooper Kupp for 6 yards (tackle by Sean Murphy-Bunting),3.800,4.030
2,5:01,3,4,TAM 12,7,14,"Penalty on Shaquil Barrett: Defensive Offside, 5 yards (no play)",4.030,5.600
2,4:37,1,7,TAM 7,13,14,"Jared Goff pass complete short left to Van Jefferson for 7 yards, touchdown",5.600,7.000
2,4:31,,,TAM 15,14,14,Matt Gay kicks extra point good,0.000,0.000
2,4:31,,,LAR 35,14,14,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
2,4:31,1,10,TAM 25,14,14,Ronald Jones up the middle for -1 yards (tackle by Troy Hill and Michael Brockers),0.610,-0.070
2,3:57,2,11,TAM 24,14,14,Tom Brady pass complete short right to Antonio Brown for 12 yards,-0.070,1.330
2,3:31,1,10,TAM 36,14,14,Tom Brady pass complete short right to Antonio Brown for 4 yards,1.330,1.330
2,2:57,2,6,TAM 40,14,14,Antonio Brown left end for 1 yard (tackle by Jalen Ramsey),1.330,0.760
2,2:19,3,5,TAM 41,14,14,Tom Brady pass complete short middle to Antonio Brown for 7 yards (tackle by Nick Scott),0.760,2.130
2,2:00,1,10,TAM 48,14,14,Tom Brady pass incomplete deep right intended for Mike Evans,2.130,1.580
2,1:53,2,10,TAM 48,14,14,Tom Brady pass complete short right to Chris Godwin for 1 yard (tackle by Kenny Young and Leonard Floyd),1.580,1.020
2,1:12,3,9,TAM 49,14,14,Tom Brady pass incomplete short left intended for Chris Godwin,1.020,-0.130
2,1:07,4,9,TAM 49,14,14,"Bradley Pinion punts 32 yards, fair catch by Nsimba Webster at LA-19",-0.130,-0.150
2,1:00,1,10,LAR 19,14,14,Jared Goff pass complete short right to Tyler Higbee for 5 yards (tackle by Carlton Davis),0.150,0.340
2,0:56,2,5,LAR 24,14,14,Jared Goff pass complete short left to Cooper Kupp for 9 yards (tackle by Sean Murphy-Bunting and Devin White),0.340,1.140
2,0:39,1,10,LAR 33,14,14,Jared Goff pass incomplete short left intended for Cooper Kupp,1.140,0.590
2,0:34,2,10,LAR 33,14,14,Jared Goff pass complete short middle to Malcolm Brown for 8 yards (tackle by Devin White),0.590,0.960
2,0:25,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:25,3,2,LAR 41,14,14,Jared Goff pass complete short left to Gerald Everett for 4 yards (tackle by Mike Edwards and Lavonte David),0.960,1.930
2,0:19,,,,,,Timeout #3 by Los Angeles Rams,,
2,0:19,1,10,LAR 45,14,14,Jared Goff pass complete short right to Robert Woods for 35 yards (tackle by Jamel Dean),1.930,4.240
2,0:02,1,10,TAM 20,14,14,Jared Goff spiked the ball,4.240,3.690
2,0:01,2,10,TAM 20,17,14,Matt Gay 38 yard field goal good,3.690,3.000
Quarter,Time,Down,ToGo,Location,LAR,TAM,Detail,EPB,EPA
