Quarter,Time,Tm,Detail,LAR,TAM
1.0,3:55,Rams,Robert Woods 4 yard pass from Jared Goff (Matt Gay kick),7,0
2.0,14:10,Buccaneers,Mike Evans 9 yard pass from Tom Brady (Ryan Succop kick),7,7
,8:35,Buccaneers,Leonard Fournette 2 yard rush (Ryan Succop kick),7,14
,4:31,Rams,Van Jefferson 7 yard pass from Jared Goff (Matt Gay kick),14,14
,0:00,Rams,Matt Gay 38 yard field goal,17,14
3.0,12:41,Buccaneers,Ryan Succop 38 yard field goal,17,17
,5:39,Rams,Cam Akers 4 yard pass from Jared Goff (Matt Gay kick),24,17
4.0,3:53,Buccaneers,Chris Godwin 13 yard pass from Tom Brady (Ryan Succop kick),24,24
,2:36,Rams,Matt Gay 40 yard field goal,27,24
