Unnamed: 0,LAR,TAM
First Downs,22,20
Rush-Yds-TDs,20-37-0,18-42-1
Cmp-Att-Yd-TD-INT,39-51-376-3-2,26-48-216-2-2
Sacked-Yards,0-0,1-7
Net Pass Yards,376,209
Total Yards,413,251
Fumbles-Lost,1-0,0-0
Turnovers,2,2
Penalties-Yards,5-65,2-7
Third Down Conv.,8-15,7-14
Fourth Down Conv.,0-0,0-1
Time of Possession,33:13,26:47
