Quarter,Time,Tm,Detail,NOR,HOU
1.0,6:57,Texans,Ryan Griffin 10 yard pass from Brian Hoyer (Nick Novak kick),0,7
,1:29,Texans,Cecil Shorts 3 yard pass from Brian Hoyer (Nick Novak kick),0,14
2.0,6:31,Saints,Kai Forbath 30 yard field goal,3,14
,1:12,Saints,Kai Forbath 57 yard field goal,6,14
3.0,11:28,Texans,Alfred Blue 8 yard rush (Nick Novak kick),6,21
,6:05,Texans,Nick Novak 34 yard field goal,6,24
