Quarter,Time,Tm,Detail,CAR,TAM
1.0,9:45,Panthers,John Kasay 30 yard field goal,3,0
,3:05,Panthers,Stephen Davis 4 yard rush (John Kasay kick),10,0
2.0,14:51,Buccaneers,Joey Galloway 50 yard pass from Chris Simms (Matt Bryant kick),10,7
,5:59,Panthers,Stephen Davis 1 yard rush (John Kasay kick),17,7
3.0,12:26,Panthers,Chris Gamble 61 yard interception return (John Kasay kick),24,7
,4:07,Panthers,John Kasay 20 yard field goal,27,7
4.0,14:07,Panthers,Steve Smith Sr. 35 yard pass from Jake Delhomme (John Kasay kick),34,7
,7:41,Buccaneers,Mike Alstott 1 yard rush (Matt Bryant kick),34,14
