Unnamed: 0,CAR,TAM
First Downs,15,18
Rush-Yds-TDs,32-77-2,17-44-1
Cmp-Att-Yd-TD-INT,11-18-216-1-0,25-42-259-1-2
Sacked-Yards,1-6,6-33
Net Pass Yards,210,226
Total Yards,287,270
Fumbles-Lost,1-0,2-2
Turnovers,0,4
Penalties-Yards,5-24,8-42
Third Down Conv.,5-13,4-12
Fourth Down Conv.,0-0,1-1
Time of Possession,28:37,31:23
