Quarter,Time,Down,ToGo,Location,SDG,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Matt Prater kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,SDG 20,0,0,Ryan Mathews right tackle for 5 yards (tackle by Paris Lenon),0.280,0.410
1,14:17,2,5,SDG 25,0,0,Philip Rivers pass complete short right to Ronnie Brown for 3 yards (tackle by Chris Harris),0.410,0.410
1,13:30,2,5,SDG 25,0,0,Timeout #1 by San Diego Chargers,0.410,0.100
1,13:30,3,2,SDG 28,0,0,Philip Rivers pass complete short middle to Ladarius Green for 5 yards (tackle by Champ Bailey),0.100,1.140
1,12:54,1,10,SDG 33,0,0,Ryan Mathews left tackle for 1 yard (tackle by Duke Ihenacho),1.140,0.730
1,12:13,2,9,SDG 34,0,0,Philip Rivers sacked by Jeremy Mincey for -8 yards,0.730,-1.020
1,11:34,3,17,SDG 26,0,0,"Danny Woodhead up the middle for 8 yards (tackle by Mike Adams). Penalty on Malik Jackson: Face Mask (15 Yards), 15 yards",-1.020,2.190
1,11:05,1,10,SDG 49,0,0,Danny Woodhead left tackle for no gain (tackle by Nate Irving),2.190,1.650
1,10:22,2,10,SDG 49,0,0,Philip Rivers sacked by Shaun Phillips for -6 yards,1.650,0.170
1,9:42,3,16,SDG 43,0,0,Philip Rivers pass incomplete short right intended for Ronnie Brown,0.170,-0.520
1,9:36,4,16,SDG 43,0,0,"Mike Scifres punts 51 yards, returned by Eric Decker for 8 yards (tackle by Seyi Ajirotutu)",-0.520,0.280
1,9:26,1,10,DEN 14,0,0,Knowshon Moreno left guard for 1 yard (tackle by Corey Liuget),-0.280,-0.640
1,8:45,2,9,DEN 15,0,0,Peyton Manning pass incomplete short right intended for Wes Welker,-0.640,-1.280
1,8:41,3,9,DEN 15,0,0,Peyton Manning pass complete short right to Julius Thomas for 16 yards (tackle by Jahleel Addae),-1.280,1.000
1,7:56,1,10,DEN 31,0,0,Peyton Manning pass complete short left to Eric Decker for 13 yards (tackle by Richard Marshall),1.000,1.860
1,7:21,1,10,DEN 44,0,0,Peyton Manning pass complete short middle to Demaryius Thomas for 9 yards (tackle by Jarret Johnson),1.860,2.530
1,6:42,2,1,SDG 47,0,0,Knowshon Moreno up the middle for 3 yards (tackle by Donald Butler),2.530,2.650
1,6:11,1,10,SDG 44,0,0,Peyton Manning pass complete short left to Andre Caldwell for 15 yards (tackle by Marcus Gilchrist),2.650,3.640
1,5:38,1,10,SDG 29,0,0,Peyton Manning pass incomplete deep right intended for Wes Welker (defended by Shareece Wright),3.640,3.100
1,5:33,2,10,SDG 29,0,0,Montee Ball up the middle for 8 yards (tackle by Eric Weddle and Lawrence Guy),3.100,3.100
1,4:48,2,10,SDG 29,0,0,Timeout #2 by San Diego Chargers,3.100,3.470
1,4:48,3,2,SDG 21,0,0,Montee Ball right guard for 5 yards (tackle by Cam Thomas),3.470,4.510
1,4:11,1,10,SDG 16,0,0,Peyton Manning pass complete short middle to Demaryius Thomas for 9 yards (tackle by Manti Te'o),4.510,5.540
1,3:47,2,1,SDG 7,0,0,Montee Ball right tackle for 4 yards (tackle by Shareece Wright),5.540,6.510
1,3:05,1,3,SDG 3,0,0,Montee Ball up the middle for 1 yard (tackle by Donald Butler),6.510,5.720
1,2:31,2,2,SDG 2,0,6,"Peyton Manning pass complete short left to Demaryius Thomas for 2 yards, touchdown",5.720,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
1,2:31,,,SDG 2,0,7,Matt Prater kicks extra point good,0.000,0.000
1,2:31,,,DEN 35,0,7,"Matt Prater kicks off 65 yards, touchback",0.000,-0.280
1,2:25,1,10,SDG 20,0,7,Danny Woodhead left end for no gain (tackle by Malik Jackson),0.280,-0.270
1,1:43,2,10,SDG 20,0,7,Danny Woodhead up the middle for 3 yards (tackle by Wesley Woodyard and Robert Ayers),-0.270,-0.560
1,0:55,3,7,SDG 23,0,7,"Penalty on Philip Rivers: Delay of Game, 5 yards (no play)",-0.560,-1.330
1,0:33,3,12,SDG 18,0,7,Philip Rivers pass incomplete short right intended for Keenan Allen (defended by Chris Harris),-1.330,-2.240
1,0:28,4,12,SDG 18,0,7,"Mike Scifres punts 51 yards, returned by Eric Decker for 11 yards (tackle by Reggie Walker)",-2.240,-1.730
1,0:16,1,10,DEN 42,0,7,Peyton Manning pass complete short left to Wes Welker for 7 yards (tackle by Manti Te'o),1.730,2.130
Quarter,Time,Down,ToGo,Location,SDG,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,DEN 49,0,7,Knowshon Moreno left tackle for 1 yard (tackle by Kendall Reyes and Corey Liuget),2.130,1.550
2,14:17,3,2,,0,7,"Peyton Manning pass complete short middle to Julius Thomas for 5 yards (tackle by Donald Butler and Jahleel Addae). Julius Thomas fumbles (forced by Jahleel Addae), recovered by Richard Marshall at SDG-43 and returned for 1 yards (tackle by Orlando Franklin)",1.550,-1.860
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
2,14:09,1,10,SDG 44,0,7,Ryan Mathews up the middle for 3 yards (tackle by Sylvester Williams and Terrance Knighton),1.860,1.720
2,13:32,2,7,SDG 47,0,7,Ryan Mathews up the middle for 16 yards (tackle by Dominique Rodgers-Cromartie),1.720,3.120
2,12:54,1,10,DEN 37,0,7,Ryan Mathews right guard for 1 yard (tackle by Robert Ayers),3.120,2.710
2,12:54,2,9,DEN 36,0,7,Danny Woodhead up the middle for 6 yards (tackle by Champ Bailey),2.710,2.810
2,11:32,3,3,DEN 30,0,7,Philip Rivers sacked by Malik Jackson for -5 yards,2.810,0.970
2,11:18,4,8,DEN 35,0,7,Nick Novak 53 yard field goal no good,0.970,-1.800
2,11:13,1,10,DEN 43,0,7,"Peyton Manning pass complete short left to Demaryius Thomas for 5 yards (tackle by Manti Te'o). Penalty on Knowshon Moreno: Offensive Pass Interference, 10 yards (no play)",1.800,1.140
2,10:53,1,20,DEN 33,0,7,Peyton Manning pass complete short middle to Knowshon Moreno for 12 yards (tackle by Jarret Johnson),1.140,1.520
2,10:18,2,8,DEN 45,0,7,"Penalty on Jarret Johnson: Neutral Zone Infraction, 5 yards (no play)",1.520,2.200
2,9:56,2,3,,0,7,Knowshon Moreno up the middle for 11 yards (tackle by Eric Weddle and Jahleel Addae),2.200,2.980
2,9:27,1,10,SDG 39,0,7,Montee Ball right tackle for 8 yards (tackle by Jarret Johnson),2.980,3.520
2,8:51,2,2,SDG 31,0,7,Montee Ball right tackle for 9 yards (tackle by Melvin Ingram),3.520,4.110
2,8:15,1,10,SDG 22,0,7,Montee Ball right tackle for 4 yards (tackle by Shareece Wright),4.110,4.130
2,7:39,2,6,SDG 18,0,7,"Penalty on Thomas Keiser: Neutral Zone Infraction, 5 yards (no play)",4.130,5.060
2,7:19,2,1,SDG 13,0,7,Knowshon Moreno up the middle for 5 yards (tackle by Manti Te'o),5.060,5.370
2,6:43,1,8,SDG 8,0,7,Knowshon Moreno up the middle for 5 yards (tackle by Corey Liuget),5.370,5.530
2,6:07,2,3,SDG 3,0,7,Peyton Manning pass incomplete short middle intended for Demaryius Thomas (defended by Shareece Wright),5.530,4.720
2,6:04,3,3,SDG 3,0,13,"Peyton Manning pass complete short left to Wes Welker for 3 yards, touchdown",4.720,7.000
2,6:04,,,SDG 2,0,14,Matt Prater kicks extra point good,0.000,0.000
2,6:04,,,DEN 35,0,14,"Matt Prater kicks off 65 yards, touchback",0.000,-0.280
2,6:00,1,10,SDG 20,0,14,Philip Rivers pass complete short left to Danny Woodhead for 3 yards (tackle by Dominique Rodgers-Cromartie),0.280,0.140
2,5:20,2,7,SDG 23,0,14,Philip Rivers pass complete short left to Danny Woodhead for 7 yards (tackle by Nate Irving),0.140,0.940
2,4:49,1,10,SDG 30,0,14,Philip Rivers pass complete short right to Ladarius Green for 2 yards (tackle by Chris Harris),0.940,0.660
2,4:25,2,8,SDG 32,0,14,Danny Woodhead up the middle for 2 yards (tackle by Terrance Knighton),0.660,0.230
2,3:41,3,6,SDG 34,0,14,Philip Rivers pass incomplete deep left intended for Eddie Royal (defended by Dominique Rodgers-Cromartie),0.230,-1.110
2,3:36,4,6,SDG 34,0,14,"Mike Scifres punts 43 yards, returned by Eric Decker for 47 yards (tackle by Donald Butler)",-1.110,-3.580
2,3:19,1,10,SDG 30,0,14,Peyton Manning pass complete short left to Demaryius Thomas for 9 yards (tackle by Richard Marshall),3.580,4.250
2,2:57,2,1,SDG 21,0,14,Knowshon Moreno up the middle for no gain (tackle by Jarret Johnson),4.250,3.530
2,2:21,3,1,SDG 21,0,14,"Penalty on Melvin Ingram: Neutral Zone Infraction, 5 yards (no play)",3.530,4.510
2,2:00,1,10,SDG 16,0,14,Knowshon Moreno up the middle for 9 yards (tackle by Marcus Gilchrist),4.510,5.540
2,1:18,2,1,SDG 7,0,14,Knowshon Moreno up the middle for 3 yards (tackle by Jarret Johnson),5.540,6.280
2,0:46,1,4,SDG 4,0,14,Knowshon Moreno right tackle for no gain (tackle by Corey Liuget),6.280,6.280
2,0:40,1,4,SDG 4,0,14,Timeout #1 by Denver Broncos,6.280,5.340
2,0:40,2,4,SDG 4,0,14,Peyton Manning pass incomplete short left intended for Eric Decker,5.340,4.490
2,0:35,3,4,SDG 4,0,14,Peyton Manning pass incomplete short left intended for Eric Decker is intercepted by Donald Butler at SDG-0,4.490,-0.280
2,0:30,1,10,SDG 20,0,14,Philip Rivers kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,SDG,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 35,0,14,"Nick Novak kicks off 66 yards, returned by Trindon Holliday for 37 yards (tackle by Nick Novak)",0.000,-1.330
3,14:52,1,10,DEN 36,0,14,Peyton Manning pass incomplete short right intended for Julius Thomas,1.330,0.790
3,14:49,2,10,DEN 36,0,14,Peyton Manning pass complete short left to Demaryius Thomas for 9 yards,0.790,1.290
3,14:25,3,1,DEN 45,0,14,Knowshon Moreno up the middle for 3 yards (tackle by Jarret Johnson),1.290,2.130
3,13:48,1,10,DEN 48,0,14,Knowshon Moreno right guard for 2 yards (tackle by Melvin Ingram),2.130,1.850
3,13:11,2,8,,0,14,Peyton Manning pass complete short left to Demaryius Thomas for 9 yards (tackle by Eric Weddle),1.850,2.850
3,12:21,1,10,SDG 41,0,14,Peyton Manning pass complete short right to Julius Thomas for 8 yards (tackle by Marcus Gilchrist),2.850,3.390
3,11:41,2,2,SDG 33,0,14,Montee Ball up the middle for 1 yard (tackle by Jahleel Addae),3.390,2.810
3,11:19,3,1,SDG 32,0,14,Peyton Manning pass complete short left to Wes Welker for 6 yards (tackle by Marcus Gilchrist),2.810,3.840
3,10:37,1,10,SDG 26,0,14,Peyton Manning pass incomplete deep right intended for Eric Decker,3.840,3.300
3,10:32,2,10,SDG 26,0,14,Peyton Manning pass complete short left to Demaryius Thomas for 4 yards (tackle by Richard Marshall),3.300,3.300
3,9:46,2,10,SDG 26,0,14,Timeout #1 by Denver Broncos,3.300,3.140
3,9:46,3,6,SDG 22,0,14,"Penalty on Julius Thomas: False Start, 5 yards (no play)",3.140,2.480
3,9:46,3,11,SDG 27,0,14,Peyton Manning pass incomplete deep middle intended for Wes Welker,2.480,1.670
3,9:39,4,11,SDG 27,0,17,Matt Prater 45 yard field goal good,1.670,3.000
3,9:39,,,DEN 35,0,17,"Matt Prater kicks off 65 yards, touchback",0.000,-0.280
3,9:35,1,10,SDG 20,0,17,Danny Woodhead right tackle for 2 yards (tackle by Terrance Knighton),0.280,0.000
3,8:57,2,8,SDG 22,0,17,Philip Rivers pass complete short left to Antonio Gates for 5 yards (tackle by Danny Trevathan),0.000,0.000
3,8:17,2,8,SDG 22,0,17,Timeout #1 by San Diego Chargers,0.000,-0.030
3,8:17,3,3,SDG 27,0,17,Philip Rivers pass complete short left to Keenan Allen for 19 yards (tackle by Mike Adams),-0.030,1.990
3,7:45,1,10,SDG 46,0,17,Danny Woodhead left end for 2 yards (tackle by Danny Trevathan),1.990,1.720
3,7:06,2,8,SDG 48,0,17,Philip Rivers pass incomplete short middle intended for Keenan Allen,1.720,1.030
3,7:01,3,8,SDG 48,0,17,"Philip Rivers pass complete short middle to Ronnie Brown for -5 yards (tackle by Michael Huff). Penalty on Vincent Brown: Offensive Pass Interference, 10 yards (no play)",1.030,-0.300
3,6:34,3,18,SDG 38,0,17,Philip Rivers pass incomplete deep middle intended for Ladarius Green,-0.300,-0.850
3,6:30,4,18,SDG 38,0,17,"Mike Scifres punts 62 yards, touchback",-0.850,-0.280
3,6:19,1,10,DEN 20,0,17,Peyton Manning pass complete short right to Eric Decker for 19 yards (tackle by Jahleel Addae),0.280,1.530
3,5:46,1,10,DEN 39,0,17,"Penalty on Lawrence Guy: Neutral Zone Infraction, 5 yards (no play)",1.530,2.260
3,5:22,1,5,DEN 44,0,17,Montee Ball up the middle for 8 yards (tackle by Melvin Ingram),2.260,2.390
3,4:38,1,10,SDG 48,0,17,Peyton Manning pass complete short right to Wes Welker for 8 yards (tackle by Bront Bird),2.390,2.930
3,3:57,2,2,SDG 40,0,17,Montee Ball right tackle for 4 yards (tackle by Jahleel Addae),2.930,3.180
3,3:22,1,10,SDG 36,0,17,"Penalty on Cam Thomas: Neutral Zone Infraction, 5 yards (no play)",3.180,3.910
3,3:05,1,5,SDG 31,0,17,Peyton Manning pass complete short left to Virgil Green for 3 yards (tackle by Eric Weddle),3.910,3.720
3,2:25,2,2,SDG 28,0,17,Knowshon Moreno right guard for no gain (tackle by Jahleel Addae),3.720,3.010
3,1:51,3,2,SDG 28,0,17,Knowshon Moreno left guard for -1 yards (tackle by Corey Liuget),3.010,1.580
3,1:11,4,3,SDG 29,0,17,Matt Prater 47 yard field goal no good,1.580,-1.400
3,1:07,1,10,SDG 37,0,17,Ronnie Brown left end for no gain (tackle by Danny Trevathan and Quentin Jammer),1.400,0.860
3,0:32,2,10,SDG 37,0,17,Philip Rivers right end for 6 yards (tackle by Quentin Jammer),0.860,0.960
Quarter,Time,Down,ToGo,Location,SDG,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
