Quarter,Time,Tm,Detail,SDG,DEN
1.0,2:25,Broncos,Demaryius Thomas 2 yard pass from Peyton Manning (Matt Prater kick),0,7
2.0,6:00,Broncos,Wes Welker 3 yard pass from Peyton Manning (Matt Prater kick),0,14
3.0,9:35,Broncos,Matt Prater 45 yard field goal,0,17
4.0,12:59,Chargers,Keenan Allen 16 yard pass from Philip Rivers (Nick Novak kick),7,17
,8:12,Broncos,Knowshon Moreno 3 yard rush (Matt Prater kick),7,24
,5:43,Chargers,Keenan Allen 16 yard pass from Philip Rivers (Nick Novak kick),14,24
,3:53,Chargers,Nick Novak 30 yard field goal,17,24
