Unnamed: 0,SDG,DEN
First Downs,13,26
Rush-Yds-TDs,18-65-0,34-133-1
Cmp-Att-Yd-TD-INT,18-27-217-2-0,25-36-230-2-1
Sacked-Yards,4-23,0-0
Net Pass Yards,194,230
Total Yards,259,363
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,8-63,6-50
Third Down Conv.,4-12,9-13
Fourth Down Conv.,1-1,0-0
Time of Possession,24:33,35:27
