Quarter,Time,Down,ToGo,Location,SEA,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 54 yards, returned by Boston Scott for 26 yards (tackle by Ben Burr-Kirven and Ugochukwu Amadi)",0.000,1.400
1,14:53,1,10,PHI 37,0,0,Miles Sanders left end for 2 yards (tackle by Rasheem Green),1.400,1.130
1,14:18,2,8,PHI 39,0,0,Carson Wentz pass complete short left to Zach Ertz for 1 yard (tackle by Bradley McDougald),1.130,0.560
1,13:39,3,7,PHI 40,0,0,Carson Wentz pass incomplete short middle intended for Zach Ertz,0.560,-0.720
1,13:33,4,7,PHI 40,0,0,"Cameron Johnston punts 44 yards, returned by David Moore for 6 yards (tackle by Alex Singleton)",-0.720,-0.410
1,13:23,1,10,SEA 22,0,0,Chris Carson left end for 2 yards (tackle by Nigel Bradham and Nathan Gerry),0.410,0.140
1,12:45,2,8,SEA 24,0,0,Russell Wilson pass incomplete deep right intended for D.K. Metcalf (defended by Jalen Mills),0.140,-0.560
1,12:36,3,8,SEA 24,0,0,Russell Wilson sacked by and Josh Sweat for -8 yards and Fletcher Cox for -8 yards,-0.560,-2.390
1,11:58,4,16,SEA 16,0,0,Michael Dickson punts 27 yards out of bounds,-2.390,-2.720
1,11:52,1,10,SEA 43,0,0,Carson Wentz right end for 7 yards (tackle by Mychal Kendricks),2.720,3.120
1,11:11,2,3,SEA 36,0,0,Miles Sanders left end for 2 yards (tackle by Mychal Kendricks),3.120,2.680
1,10:34,3,1,SEA 34,0,0,Jay Ajayi left end for 6 yards (tackle by Tre Flowers),2.680,3.710
1,9:54,1,10,SEA 28,0,0,Miles Sanders right end for 3 yards (tackle by K.J. Wright),3.710,3.570
1,9:18,2,7,SEA 25,0,0,"Penalty on Branden Jackson: Neutral Zone Infraction, 5 yards (no play)",3.570,4.250
1,8:55,2,2,SEA 20,0,0,Carson Wentz pass complete short left to Greg Ward for 9 yards (tackle by Mychal Kendricks),4.250,4.840
1,8:17,1,10,SEA 11,0,0,Jay Ajayi left tackle for 1 yard (tackle by Tre Flowers and Bobby Wagner),4.840,4.320
1,7:38,2,9,SEA 10,0,0,Carson Wentz pass incomplete short right intended for JJ Arcega-Whiteside (defended by Tre Flowers),4.320,3.300
1,7:36,3,9,SEA 10,0,0,Carson Wentz pass incomplete short left intended for Miles Sanders,3.300,2.760
1,7:31,4,9,SEA 10,0,3,Jake Elliott 28 yard field goal good,2.760,3.000
1,7:29,,,PHI 35,0,3,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,7:29,1,10,SEA 25,0,3,Russell Wilson pass complete short right to Jacob Hollister for 21 yards (tackle by Rodney McLeod and Nigel Bradham),0.610,1.990
