Quarter,Time,Tm,Detail,SEA,PHI
1.0,7:29,Eagles,Jake Elliott 28 yard field goal,0,3
,5:54,Seahawks,Malik Turner 33 yard pass from Russell Wilson (Jason Myers kick),7,3
2.0,7:13,Seahawks,Jason Myers 24 yard field goal,10,3
4.0,11:56,Seahawks,Rashaad Penny 58 yard rush (Jason Myers kick),17,3
,0:20,Eagles,Zach Ertz 2 yard pass from Carson Wentz (run failed),17,9
