Unnamed: 0,SEA,PHI
First Downs,14,23
Rush-Yds-TDs,26-174-1,23-106-0
Cmp-Att-Yd-TD-INT,13-25-200-1-1,33-45-256-1-2
Sacked-Yards,6-26,3-18
Net Pass Yards,174,238
Total Yards,348,344
Fumbles-Lost,2-1,4-3
Turnovers,2,5
Penalties-Yards,12-90,2-15
Third Down Conv.,5-14,4-12
Fourth Down Conv.,0-0,0-1
Time of Possession,28:05,31:55
