Unnamed: 0,CHI,NOR
First Downs,11,27
Rush-Yds-TDs,19-48-0,35-123-1
Cmp-Att-Yd-TD-INT,19-29-199-1-0,28-39-265-2-0
Sacked-Yards,1-8,1-3
Net Pass Yards,191,262
Total Yards,239,385
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,9-50,4-20
Third Down Conv.,1-10,11-17
Fourth Down Conv.,0-1,0-1
Time of Possession,21:02,38:58
