Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Kyle Fuller,CHI,0,6,5,83.3%,73,14.6,12.2,1,156.9,4.3,15,58,0,0,0,0.0,0,3,2,40.0%
Danny Trevathan,CHI,0,4,4,100.0%,39,9.8,9.8,0,107.3,5.0,20,19,2,0,0,0.0,0,10,2,16.7%
Eddie Jackson,CHI,0,4,4,100.0%,37,9.3,9.3,1,144.8,2.8,11,26,1,0,0,0.0,0,6,1,14.3%
Kindle Vildor,CHI,0,4,4,100.0%,24,6.0,6.0,0,91.7,3.5,14,10,0,0,0,0.0,0,7,0,0.0%
Manti Te'o,CHI,0,5,3,60.0%,29,9.7,5.8,0,76.2,3.8,14,15,2,0,0,0.0,0,6,1,14.3%
Tashaun Gipson,CHI,0,6,2,33.3%,21,10.5,3.5,0,44.4,10.2,16,5,1,0,0,1.0,1,8,1,11.1%
Barkevious Mingo,CHI,0,2,2,100.0%,9,4.5,4.5,0,85.4,0.5,1,8,3,0,0,0.0,0,3,0,0.0%
Duke Shelley,CHI,0,3,2,66.7%,9,4.5,3.0,0,70.1,8.7,7,2,3,0,0,0.0,0,1,1,50.0%
Robert Quinn,CHI,0,1,1,100.0%,0,0.0,0.0,0,79.2,1.0,1,-1,1,0,1,0.0,1,3,0,0.0%
Deon Bush,CHI,0,1,1,100.0%,24,24.0,24.0,0,118.7,6.0,6,18,0,0,0,0.0,0,0,0,
Akiem Hicks,CHI,0,0,0,,,,,,,,,,0,1,2,0.0,3,6,0,0.0%
Mario Edwards,CHI,0,0,0,,,,,,,,,,0,0,1,0.0,1,4,0,0.0%
Khalil Mack,CHI,0,0,0,,,,,,,,,,3,0,0,0.0,0,2,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Jackrabbit Jenkins,NOR,0,9,6,66.7%,77,12.8,8.6,0,93.3,9.2,55,22,0,0,0,0.0,0,5,1,16.7%
Marshon Lattimore,NOR,0,6,4,66.7%,33,8.3,5.5,0,80.6,10.8,22,11,0,0,0,0.0,0,2,0,0.0%
Demario Davis,NOR,0,3,3,100.0%,46,15.3,15.3,1,158.3,10.0,30,16,4,0,0,0.0,0,5,0,0.0%
C.J. Gardner-Johnson,NOR,0,4,3,75.0%,28,9.3,7.0,0,93.7,8.8,27,1,4,0,0,0.0,0,8,0,0.0%
Marcus Williams,NOR,0,3,2,66.7%,14,7.0,4.7,0,77.1,16.3,9,5,0,0,0,0.0,0,3,0,0.0%
Malcolm Jenkins,NOR,0,1,1,100.0%,1,1.0,1.0,0,79.2,-2.0,-2,3,5,0,1,0.0,1,3,0,0.0%
Sheldon Rankins,NOR,0,0,0,,,,,,,,,,0,1,1,1.0,3,2,0,0.0%
Malcom Brown,NOR,0,0,0,,,,,,,,,,0,1,0,0.0,1,3,0,0.0%
Cameron Jordan,NOR,0,0,0,,,,,,,,,,0,1,0,0.0,1,5,0,0.0%
Kaden Elliss,NOR,0,0,0,,,,,,,,,,2,0,0,0.0,0,0,0,
Alex Anzalone,NOR,0,0,0,,,,,,,,,,5,0,0,0.0,0,2,0,0.0%
P.J. Williams,NOR,0,1,0,0.0%,,,0.0,,39.6,4.0,,,0,0,0,0.0,0,1,0,0.0%
