Quarter,Time,Tm,Detail,CHI,NOR
1.0,5:09,Saints,Michael Thomas 11 yard pass from Drew Brees (Wil Lutz kick),0,7
2.0,8:06,Bears,Cairo Santos 36 yard field goal,3,7
3.0,4:08,Saints,Latavius Murray 6 yard pass from Drew Brees (Wil Lutz kick),3,14
4.0,8:50,Saints,Alvin Kamara 3 yard rush (Wil Lutz kick),3,21
,0:00,Bears,Jimmy Graham 19 yard pass from Mitchell Trubisky,9,21
