Unnamed: 0,PHI,CAR
First Downs,15,17
Rush-Yds-TDs,22-91-2,30-109-0
Cmp-Att-Yd-TD-INT,22-37-198-0-1,21-37-177-1-3
Sacked-Yards,2-16,3-19
Net Pass Yards,182,158
Total Yards,273,267
Fumbles-Lost,2-1,0-0
Turnovers,2,3
Penalties-Yards,6-60,9-69
Third Down Conv.,4-13,5-15
Fourth Down Conv.,0-1,0-0
Time of Possession,24:57,35:03
