Unnamed: 0,NOR,TAM
First Downs,20,18
Rush-Yds-TDs,23-70-2,39-183-1
Cmp-Att-Yd-TD-INT,24-38-281-1-3,14-23-115-1-1
Sacked-Yards,2-13,3-18
Net Pass Yards,268,97
Total Yards,338,280
Fumbles-Lost,1-0,0-0
Turnovers,3,1
Penalties-Yards,2-15,4-23
Third Down Conv.,7-14,9-17
Fourth Down Conv.,1-1,0-0
Time of Possession,27:13,32:47
