Quarter,Time,Tm,Detail,TEN,HOU
2.0,10:40,Texans,Kris Brown 49 yard field goal,0,3
,3:16,Titans,Erron Kinney 2 yard pass from Steve McNair (Gary Anderson kick),7,3
,0:00,Titans,Gary Anderson 41 yard field goal,10,3
3.0,8:44,Texans,Marlon McCree 95 yard interception return (Kris Brown kick),10,10
,5:18,Titans,Samari Rolle 61 yard defensive fumble return (Gary Anderson kick),17,10
,2:55,Texans,Corey Bradford 20 yard pass from David Carr (Kris Brown kick),17,17
4.0,11:40,Titans,Gary Anderson 26 yard field goal,20,17
,1:48,Texans,Domanick Williams 5 yard rush (Kris Brown kick),20,24
,0:17,Titans,Drew Bennett 23 yard pass from Steve McNair (Gary Anderson kick),27,24
