Unnamed: 0,NWE,IND
First Downs,17,32
Rush-Yds-TDs,24-93-1,30-125-2
Cmp-Att-Yd-TD-INT,21-34-232-1-1,27-47-349-1-1
Sacked-Yards,1-6,3-19
Net Pass Yards,226,330
Total Yards,319,455
Fumbles-Lost,1-0,2-0
Turnovers,1,1
Penalties-Yards,8-63,4-32
Third Down Conv.,5-14,8-15
Fourth Down Conv.,2-2,0-0
Time of Possession,28:45,31:15
