Quarter,Time,Down,ToGo,Location,NWE,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Adam Vinatieri kicks off 64 yards, returned by Ellis Hobbs for 18 yards (tackle by Marlin Jackson)",0.000,0.540
1,14:55,1,10,NWE 24,0,0,Tom Brady pass incomplete short right intended for Jabar Gaffney,0.540,0.000
1,14:49,2,10,NWE 24,0,0,Corey Dillon middle for 4 yards (tackle by Gary Brackett and Anthony McFarland),0.000,-0.160
1,14:06,3,6,NWE 28,0,0,Kevin Faulk left tackle for 8 yards (tackle by Bob Sanders),-0.160,1.330
1,13:31,1,10,NWE 36,0,0,Tom Brady pass incomplete short left intended for Kevin Faulk,1.330,0.790
1,13:26,2,10,NWE 36,0,0,Corey Dillon middle for 2 yards (tackle by Nick Harper),0.790,0.370
1,12:43,3,8,NWE 38,0,0,Tom Brady pass incomplete short left intended for Kevin Faulk,0.370,-0.850
1,12:38,4,8,NWE 38,0,0,"Todd Sauerbrun punts 49 yards, returned by Terrence Wilkins for 16 yards (tackle by James Sanders)",-0.850,-0.870
1,12:26,1,10,IND 29,0,0,Joseph Addai left end for 6 yards (tackle by Ellis Hobbs),0.870,1.140
1,12:09,2,4,IND 35,0,0,Joseph Addai right tackle for 1 yard (tackle by Ty Warren and Rosevelt Colvin),1.140,0.560
1,11:26,3,3,IND 36,0,0,Peyton Manning pass incomplete deep right intended for Joseph Addai,0.560,-0.980
1,11:18,4,3,IND 36,0,0,"Hunter Smith punts 52 yards, returned by Kevin Faulk for 6 yards (tackle by Tyjuan Hagler). Penalty on Tyjuan Hagler: Illegal Motion, 5 yards (no play)",-0.980,-1.310
1,11:07,4,8,IND 31,0,0,"Hunter Smith punts 44 yards, fair catch by Kevin Faulk",-1.310,-0.610
1,11:00,1,10,NWE 25,0,0,Tom Brady pass complete short right to Reche Caldwell for 18 yards (tackle by Robert Mathis),0.610,1.800
1,10:39,1,10,NWE 43,0,0,Laurence Maroney left tackle for -2 yards (tackle by Gary Brackett and Anthony McFarland),1.800,0.980
1,10:06,2,12,NWE 41,0,0,Kevin Faulk middle for 3 yards (tackle by Anthony McFarland and Rob Morris),0.980,0.690
1,9:21,3,9,NWE 44,0,0,Kevin Faulk left tackle for 8 yards (tackle by Antoine Bethea and Robert Mathis),0.690,0.070
1,8:52,4,1,IND 48,0,0,Corey Dillon right tackle for 35 yards (tackle by Antoine Bethea),0.070,4.710
1,8:28,1,10,IND 13,0,0,Laurence Maroney left end for 9 yards (tackle by Nick Harper),4.710,5.730
1,8:05,2,1,IND 4,0,0,Tom Brady middle for no gain (tackle by Rob Morris),5.730,5.010
1,7:36,3,1,IND 4,6,0,"Tom Brady for no gain. Tom Brady fumbles, recovered by Logan Mankins at IND-0, touchdown",5.010,7.000
1,,,,IND 2,7,0,Stephen Gostkowski kicks extra point good,0.000,0.000
1,,,,NWE 30,7,0,"Stephen Gostkowski kicks off 70 yards, touchback",0.000,0.280
1,7:24,1,10,IND 20,7,0,Peyton Manning pass complete short right to Marvin Harrison for 8 yards,0.280,0.810
1,7:06,2,2,IND 28,7,0,Joseph Addai left tackle for 8 yards (tackle by Eric Alexander),0.810,1.330
1,6:30,1,10,IND 36,7,0,Peyton Manning pass incomplete short right intended for Marvin Harrison (defended by Asante Samuel),1.330,0.790
1,6:23,2,10,IND 36,7,0,Peyton Manning pass complete short left to Reggie Wayne for 13 yards (tackle by Artrell Hawkins and James Sanders),0.790,2.190
1,5:48,1,10,IND 49,7,0,Peyton Manning pass complete short left to Joseph Addai for 3 yards (tackle by Rosevelt Colvin),2.190,2.050
1,5:11,2,7,NWE 48,7,0,Peyton Manning pass incomplete deep right intended for Marvin Harrison,2.050,1.360
1,5:03,3,7,NWE 48,7,0,Peyton Manning pass complete short right to Dallas Clark for 12 yards (tackle by Artrell Hawkins),1.360,3.180
1,4:26,1,10,NWE 36,7,0,Joseph Addai left end for 4 yards (tackle by Richard Seymour),3.180,3.180
1,3:50,2,6,NWE 32,7,0,Peyton Manning pass complete short middle to Ben Utecht for 5 yards (tackle by Tedy Bruschi),3.180,3.140
1,3:18,3,1,NWE 27,7,0,Joseph Addai right guard for 1 yard (tackle by Vince Wilfork),3.140,3.840
1,2:46,1,10,NWE 26,7,0,"Joseph Addai right end for 5 yards (tackle by Eric Alexander). Penalty on Ryan Diem: Offensive Holding, 10 yards (no play)",3.840,3.180
1,2:25,1,20,NWE 36,7,0,Peyton Manning pass incomplete deep middle intended for Reggie Wayne (defended by Ellis Hobbs),3.180,1.950
1,2:18,2,20,NWE 36,7,0,Peyton Manning pass complete short right to Joseph Addai for 1 yard (tackle by Asante Samuel),1.950,1.420
1,1:32,3,19,NWE 35,7,0,Joseph Addai middle for 11 yards (tackle by James Sanders),1.420,1.870
1,0:54,4,8,NWE 24,7,3,Adam Vinatieri 42 yard field goal good,1.870,3.000
1,,,,IND 30,7,3,"Adam Vinatieri kicks off 71 yards, returned by Ellis Hobbs for 29 yards (tackle by Darrell Reid)",0.000,0.810
1,0:41,1,10,NWE 28,7,3,Corey Dillon middle for 2 yards (tackle by Jason David),0.810,0.530
1,0:02,2,8,NWE 30,7,3,Tom Brady pass complete short left to Ben Watson for 7 yards (tackle by Bob Sanders),0.530,0.760
Quarter,Time,Down,ToGo,Location,NWE,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,NWE 37,7,3,Tom Brady middle for 2 yards (tackle by Rob Morris and Cato June),0.760,1.530
2,14:24,1,10,NWE 39,7,3,Tom Brady pass complete short right to Heath Evans for 10 yards (tackle by Bob Sanders),1.530,2.190
2,13:59,1,10,NWE 49,7,3,Laurence Maroney middle for 5 yards (tackle by Anthony McFarland),2.190,2.320
2,13:21,2,5,IND 46,7,3,Laurence Maroney right end for 8 yards (tackle by Antoine Bethea),2.320,3.050
2,12:37,1,10,IND 38,7,3,Tom Brady pass incomplete short right intended for Kevin Faulk,3.050,2.510
2,12:32,2,10,IND 38,7,3,Corey Dillon middle for -1 yards (tackle by Dan Klecko and Dwight Freeney),2.510,1.680
2,11:53,3,11,IND 39,7,3,Tom Brady pass complete short right to Kevin Faulk for 5 yards (tackle by Kelvin Hayden and Raheem Brock),1.680,1.070
2,11:07,,,,7,3,Timeout #1 by New England Patriots,0.000,1.070
2,11:07,4,6,IND 34,7,3,Tom Brady pass complete short middle to Troy Brown for 27 yards (tackle by Jason David),1.070,5.600
2,10:24,1,7,IND 7,13,3,"Corey Dillon left guard for 7 yards, touchdown",5.600,7.000
2,,,,IND 2,14,3,Stephen Gostkowski kicks extra point good,0.000,0.000
2,,,,NWE 30,14,3,"Stephen Gostkowski kicks off 69 yards, returned by Terrence Wilkins for 25 yards (tackle by Corey Mays). Terrence Wilkins fumbles (forced by Corey Mays), recovered by Tyjuan Hagler at IND-28",0.000,0.810
2,10:08,1,10,IND 28,14,3,Dominic Rhodes left end for 3 yards (tackle by Vince Wilfork and Richard Seymour),0.810,0.670
2,9:34,2,7,IND 31,20,3,"Peyton Manning pass incomplete short right intended for Marvin Harrison is intercepted by Asante Samuel at IND-39 and returned for 39 yards, touchdown",0.670,-7.000
2,,,,IND 2,21,3,Stephen Gostkowski kicks extra point good,0.000,0.000
2,,,,NWE 30,21,3,"Stephen Gostkowski kicks off 70 yards, returned by Terrence Wilkins for 17 yards (tackle by Antwain Spann)",0.000,-0.060
2,9:18,1,10,IND 17,21,3,Peyton Manning sacked by Eric Alexander for -1 yards,-0.060,-0.730
2,8:43,2,11,IND 16,21,3,Peyton Manning sacked by Rosevelt Colvin for -11 yards,-0.730,-2.820
2,8:43,3,22,IND 5,21,3,"Penalty on Peyton Manning: Delay of Game, 2 yards (no play)",-2.820,-3.060
2,7:52,3,24,IND 3,21,3,Peyton Manning pass incomplete deep right intended for Marvin Harrison,-3.060,-2.490
2,7:44,4,24,IND 3,21,3,"Hunter Smith punts 53 yards, returned by Troy Brown for 8 yards (tackle by Rocky Boiman)",-2.490,-2.390
2,7:33,1,10,IND 48,21,3,Laurence Maroney right tackle for -3 yards (tackle by Bob Sanders),2.390,1.440
2,6:57,2,13,NWE 49,21,3,Tom Brady pass complete short middle to Troy Brown for 5 yards (tackle by Rob Morris),1.440,1.420
2,6:15,3,8,IND 46,21,3,Tom Brady pass complete short middle to Ben Watson for 14 yards (tackle by Marlin Jackson),1.420,3.450
2,5:37,1,10,IND 32,21,3,Tom Brady pass complete short right to Reche Caldwell for 5 yards (tackle by Marlin Jackson),3.450,3.580
2,5:12,2,5,IND 27,21,3,Laurence Maroney middle for -1 yards (tackle by Gary Brackett and Josh Thomas),3.580,2.740
2,4:32,3,6,IND 28,21,3,"Tom Brady pass complete short left to Ben Watson for 9 yards (tackle by Cato June). Penalty on Troy Brown: Offensive Pass Interfere, 10 yards (no play)",2.740,1.420
2,4:05,3,16,IND 38,21,3,"Heath Evans middle for 4 yards (tackle by Robert Mathis). Penalty on Ben Watson: Illegal Motion, 5 yards (no play)",1.420,0.760
2,3:37,3,21,IND 43,21,3,Tom Brady sacked by Raheem Brock for -6 yards,0.760,0.000
2,3:13,4,27,IND 49,21,3,"Todd Sauerbrun punts 37 yards, fair catch by Terrence Wilkins",0.000,0.350
2,3:06,1,10,IND 12,21,3,Peyton Manning pass incomplete deep right intended for Dallas Clark,-0.350,-0.780
2,2:58,2,10,IND 12,21,3,Joseph Addai left tackle for no gain (tackle by Jarvis Green),-0.780,-1.420
2,2:18,3,10,IND 12,21,3,Peyton Manning pass complete short right to Reggie Wayne for 18 yards (tackle by Ray Mickens),-1.420,0.940
