Quarter,Time,Down,ToGo,Location,LAC,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ATL 25,0,0,Marcus Mariota pass complete short right to Cordarrelle Patterson for 9 yards (tackle by Sebastian Joseph-Day),0.610,1.280
1,14:23,2,1,ATL 34,0,0,Cordarrelle Patterson right end for 7 yards (tackle by Austin Johnson),1.280,1.660
1,13:40,1,10,ATL 41,0,0,Tyler Allgeier right end for 44 yards (tackle by Nasir Adderley and Asante Samuel),1.660,4.580
1,12:48,1,10,LAC 15,0,0,Marcus Mariota right end for 6 yards (tackle by Michael Davis),4.580,5.030
1,12:07,2,4,LAC 9,0,0,Marcus Mariota pass complete short left to MyCole Pruitt for 6 yards (tackle by Asante Samuel),5.030,6.510
1,11:24,1,3,LAC 3,0,0,Marcus Mariota pass incomplete short right intended for Drake London,6.510,5.530
1,11:19,2,3,LAC 3,0,0,Cordarrelle Patterson right tackle for 2 yards (tackle by Drue Tranquill),5.530,5.170
1,10:43,3,1,LAC 1,0,6,"Cordarrelle Patterson left tackle for 1 yard, touchdown",5.170,7.000
1,10:40,,,LAC 15,0,7,Younghoe Koo kicks extra point good,0.000,0.000
1,10:40,,,ATL 35,0,7,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,10:40,1,10,LAC 25,0,7,Justin Herbert pass complete short left to Michael Bandy for 1 yard,0.610,0.200
1,10:07,2,9,LAC 26,0,7,Justin Herbert pass complete short left to Josh Palmer for 7 yards (tackle by Cornell Armstrong and Jaylinn Hawkins),0.200,0.430
1,9:29,3,2,LAC 33,0,7,Justin Herbert pass incomplete short right intended for Michael Bandy (defended by Rashaan Evans),0.430,-1.180
1,9:24,4,2,LAC 33,0,7,JK Scott punts 48 yards out of bounds,-1.180,-0.150
1,9:14,1,10,ATL 19,0,7,Caleb Huntley left end for 5 yards (tackle by Austin Johnson),0.150,0.340
1,8:39,2,5,ATL 24,0,7,Marcus Mariota pass complete short left to Kyle Pitts for 18 yards (tackle by Michael Davis),0.340,1.730
1,7:56,1,10,ATL 42,0,7,Marcus Mariota scrambles up the middle for 5 yards (tackle by Drue Tranquill),1.730,1.860
1,7:12,2,5,ATL 47,0,7,Tyler Allgeier left tackle for 6 yards (tackle by Otito Ogbonnia),1.860,2.460
1,6:32,1,10,LAC 47,0,7,Marcus Mariota pass complete short middle to Drake London for 12 yards (tackle by Derwin James),2.460,3.250
1,5:55,1,10,LAC 35,0,7,Cordarrelle Patterson left end for 7 yards (tackle by Kenneth Murray),3.250,3.650
1,5:20,2,3,LAC 28,0,7,Marcus Mariota scrambles right end for 5 yards (tackle by Derrek Tuszka),3.650,4.040
1,4:46,1,10,LAC 23,0,7,Cordarrelle Patterson right end for 5 yards (tackle by Michael Davis and Austin Johnson),4.040,4.210
1,4:00,2,5,LAC 18,0,7,Cordarrelle Patterson left tackle for no gain (tackle by Drue Tranquill),4.210,3.490
1,3:19,3,5,LAC 18,0,7,Marcus Mariota pass complete short right to Drake London for 6 yards (tackle by Nasir Adderley),3.490,4.780
1,2:36,1,10,LAC 12,0,7,Caleb Huntley left end for -1 yards (tackle by Drue Tranquill and Christian Covington),4.780,3.940
1,1:52,2,11,LAC 13,0,7,Marcus Mariota pass incomplete short left intended for Drake London,3.940,3.100
1,1:46,3,11,LAC 13,0,7,Marcus Mariota pass complete short middle to Avery Williams for 2 yards (tackle by Asante Samuel),3.100,2.700
1,0:56,4,9,LAC 11,0,10,Younghoe Koo 29 yard field goal good,2.700,3.000
1,0:52,,,ATL 35,0,10,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,0:52,1,10,LAC 25,0,10,Austin Ekeler left guard for 3 yards (tackle by Rashaan Evans and Ta'Quon Graham),0.610,0.470
1,0:19,2,7,LAC 28,0,10,Justin Herbert pass complete short right to Gerald Everett for 5 yards (tackle by Richie Grant and Rashaan Evans),0.470,0.430
Quarter,Time,Down,ToGo,Location,LAC,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,LAC 33,0,10,Justin Herbert pass incomplete short middle intended for Josh Palmer,0.430,-1.180
2,14:55,4,2,LAC 33,0,10,"JK Scott punts 36 yards, fair catch by Avery Williams at ATL-31",-1.180,-1.000
2,14:45,1,10,ATL 31,0,10,Caleb Huntley left guard for 3 yards (tackle by Kenneth Murray and Sebastian Joseph-Day),1.000,0.870
2,14:06,2,7,ATL 34,0,10,Marcus Mariota pass incomplete deep right intended for Kyle Pitts,0.870,0.170
2,14:00,3,7,ATL 34,0,10,Marcus Mariota sacked by Drue Tranquill for -7 yards,0.170,-1.570
2,13:25,4,14,ATL 27,0,10,"Bradley Pinion punts 46 yards, returned by DeAndre Carter for no gain (tackle by Nick Kwiatkoski and Mike Ford). Penalty on Ja'Sir Taylor: Offensive Holding, 10 yards (accepted)",-1.570,0.060
2,13:13,1,10,LAC 17,0,10,Gerald Everett left end for no gain (tackle by Rashaan Evans and DeAngelo Malone),-0.060,-0.580
2,12:34,2,10,LAC 17,0,10,"Penalty on Sony Michel: False Start, 5 yards (accepted) (no play)",-0.580,-1.150
2,12:21,2,15,LAC 12,0,10,Justin Herbert pass incomplete short middle intended for Sony Michel,-1.150,-2.010
2,12:15,3,15,LAC 12,0,10,Justin Herbert pass complete deep middle to Josh Palmer for 25 yards (tackle by Richie Grant),-2.010,1.400
2,11:35,1,10,LAC 37,0,10,Austin Ekeler right guard for 2 yards (tackle by Richie Grant),1.400,1.130
