Quarter,Time,Tm,Detail,LAC,ATL
1.0,10:40,Falcons,Cordarrelle Patterson 1 yard rush (Younghoe Koo kick),0,7
,0:52,Falcons,Younghoe Koo 29 yard field goal,0,10
2.0,4:38,Chargers,Austin Ekeler 2 yard rush (Cameron Dicker kick),7,10
,0:32,Chargers,Austin Ekeler 1 yard pass from Justin Herbert (Cameron Dicker kick),14,10
3.0,3:44,Falcons,Cordarrelle Patterson 3 yard rush (Younghoe Koo kick),14,17
4.0,5:27,Chargers,Cameron Dicker 31 yard field goal,17,17
,0:00,Chargers,Cameron Dicker 37 yard field goal,20,17
