Unnamed: 0,JAX,BUF
First Downs,29,18
Rush-Yds-TDs,40-196-2,14-29-1
Cmp-Att-Yd-TD-INT,25-37-315-1-0,27-40-359-2-1
Sacked-Yards,5-37,0-0
Net Pass Yards,278,359
Total Yards,474,388
Fumbles-Lost,4-2,2-1
Turnovers,2,2
Penalties-Yards,8-56,11-109
Third Down Conv.,10-18,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,38:12,21:48
