Quarter,Time,Down,ToGo,Location,OAK,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,ATL 30,0,0,"Jay Feely kicks off 67 yards, returned by J.R. Redmond for 15 yards (tackle by Demorrio Williams)",0.000,0.040
1,14:55,1,10,OAK 18,0,0,"Kerry Collins pass complete to Chris Hetherington for 10 yards (tackle by DeAngelo Hall). Chris Hetherington fumbles (forced by DeAngelo Hall), recovered by Chad Lavalais at OAK-32",0.040,-3.450
1,14:45,1,10,OAK 32,0,0,Michael Vick pass incomplete (defended by Sam Williams),3.450,2.900
1,14:41,2,10,OAK 32,0,0,Warrick Dunn right tackle for 6 yards (tackle by Danny Clark),2.900,3.010
1,14:03,3,4,OAK 26,0,0,Michael Vick sacked by Tim Johnson and Charles Woodson for -10 yards,3.010,0.880
1,13:51,4,14,OAK 36,0,0,Chris Mohr punts 34 yards,0.880,0.380
1,13:42,1,10,OAK 2,0,0,Kerry Collins pass complete to Chris Hetherington for 4 yards (tackle by Matt Stewart),-0.380,-0.490
1,13:04,2,6,OAK 6,0,0,J.R. Redmond up the middle for 7 yards (tackle by Chad Lavalais),-0.490,-0.320
1,12:23,1,10,OAK 13,0,0,Amos Zereoue up the middle for 1 yard (tackle by Demorrio Williams),-0.320,-0.680
1,11:48,,,,0,0,Timeout #1 by Oakland Raiders,0.000,-0.680
1,11:48,2,9,OAK 14,0,0,Kerry Collins pass incomplete (defended by Roderick Coleman),-0.680,-1.300
1,11:41,3,9,OAK 14,0,0,Kerry Collins pass incomplete intended for Doug Gabriel,-1.300,-2.470
1,11:37,4,9,OAK 14,0,0,"Shane Lechler punts 58 yards, returned by Allen Rossum for 13 yards (tackle by Justin Fargas). Penalty on Michael Jenkins: Illegal Use of Hands, 5 yards (no play)",-2.470,0.150
1,11:24,1,10,OAK 19,0,0,Zack Crockett up the middle for 8 yards (tackle by Keith Brooking),0.150,0.750
1,10:48,2,2,OAK 27,0,0,Zack Crockett up the middle for 6 yards (tackle by Cory Hall),0.750,1.140
1,10:09,1,10,OAK 33,0,0,"J.R. Redmond left end for 2 yards (tackle by Keith Brooking). Penalty on Patrick Kerney: Defensive Offside, 5 yards (no play)",1.140,1.870
1,9:46,1,5,OAK 38,0,0,Zack Crockett left tackle for 2 yards (tackle by Matt Stewart),1.870,1.540
1,9:06,2,3,OAK 40,0,0,Kerry Collins pass complete to Zack Crockett for 4 yards (tackle by Keith Brooking),1.540,1.860
1,8:22,1,10,OAK 44,0,0,Kerry Collins pass complete to Jerry Porter for 13 yards (tackle by DeAngelo Hall),1.860,2.720
1,7:39,1,10,ATL 43,0,0,Justin Fargas left end for 7 yards (tackle by Travis Hall),2.720,3.120
1,7:02,2,3,ATL 36,0,0,Kerry Collins pass complete to Amos Zereoue for 4 yards (tackle by Keith Brooking),3.120,3.450
1,6:23,1,10,ATL 32,0,0,Amos Zereoue up the middle for -1 yards (tackle by Matt Stewart),3.450,2.770
1,5:42,2,11,ATL 33,0,0,Kerry Collins pass incomplete intended for J.R. Redmond,2.770,2.080
1,5:38,3,11,ATL 33,0,0,Kerry Collins sacked by DeAngelo Hall and Demorrio Williams for -1 yards,2.080,1.060
1,5:03,4,12,ATL 34,3,0,Sebastian Janikowski 52 yard field goal good,1.060,3.000
1,,,,OAK 30,3,0,"Sebastian Janikowski kicks off 72 yards, returned by Allen Rossum for 22 yards (tackle by Tim Johnson)",0.000,0.280
1,4:55,1,10,ATL 20,3,0,Warrick Dunn left tackle for 8 yards (tackle by Stuart Schweigert),0.280,0.810
1,4:21,2,2,ATL 28,3,0,Warrick Dunn right tackle for 4 yards (tackle by Stuart Schweigert and Danny Clark),0.810,1.070
1,3:43,1,10,ATL 32,3,0,Michael Vick pass complete to Dez White for 11 yards (tackle by Phillip Buchanon),1.070,1.800
1,3:06,1,10,ATL 43,3,0,Michael Vick for 12 yards (tackle by Charles Woodson),1.800,2.590
1,2:41,1,10,OAK 45,3,0,Warrick Dunn up the middle for 3 yards (tackle by Ted Washington and Danny Clark),2.590,2.450
1,2:04,2,7,OAK 42,3,0,"Michael Vick pass complete to Peerless Price for 36 yards (tackle by Charles Woodson). Penalty on Peerless Price: Offensive Pass Interference, 10 yards (no play)",2.450,1.100
1,1:34,2,17,ATL 48,3,0,Warrick Dunn left tackle for 1 yard (tackle by Ray Buchanan),1.100,0.560
1,0:51,3,16,ATL 49,3,0,Michael Vick pass complete to Michael Jenkins for 11 yards (tackle by Tim Johnson),0.560,0.590
