Quarter,Time,Tm,Detail,OAK,ATL
1.0,4:59,Raiders,Sebastian Janikowski 52 yard field goal,3,0
2.0,8:47,Falcons,T.J. Duckett 28 yard rush (Jay Feely kick),3,7
,2:11,Falcons,T.J. Duckett 2 yard rush (Jay Feely kick),3,14
,1:14,Falcons,Roderick Coleman 39 yard interception return (Jay Feely kick),3,21
3.0,5:31,Falcons,T.J. Duckett 4 yard rush (Jay Feely kick),3,28
4.0,9:00,Falcons,T.J. Duckett 1 yard rush (Jay Feely kick),3,35
,3:27,Raiders,Zack Crockett 1 yard rush (Sebastian Janikowski kick),10,35
