Unnamed: 0,NYG,ARI
First Downs,12,19
Rush-Yds-TDs,20-43-0,27-74-0
Cmp-Att-Yd-TD-INT,27-45-263-0-2,21-35-230-2-2
Sacked-Yards,2-13,2-15
Net Pass Yards,250,215
Total Yards,293,289
Fumbles-Lost,2-1,1-0
Turnovers,3,2
Penalties-Yards,10-101,6-45
Third Down Conv.,1-14,5-14
Fourth Down Conv.,1-4,0-0
Time of Possession,26:47,33:13
