Unnamed: 0,SFO,SEA
First Downs,11,21
Rush-Yds-TDs,19-159-0,37-131-0
Cmp-Att-Yd-TD-INT,15-27-99-0-1,23-39-198-1-0
Sacked-Yards,2-10,3-17
Net Pass Yards,89,181
Total Yards,248,312
Fumbles-Lost,0-0,2-0
Turnovers,1,0
Penalties-Yards,6-66,9-71
Third Down Conv.,2-12,8-19
Fourth Down Conv.,0-0,1-1
Time of Possession,23:02,36:58
