Quarter,Time,Tm,Detail,STL,SDG
1.0,7:05,Chargers,LaDainian Tomlinson 2 yard rush (Nate Kaeding kick),0,7
,3:33,Chargers,LaDainian Tomlinson 38 yard rush (Nate Kaeding kick),0,14
2.0,12:26,Rams,Steven Jackson 3 yard rush (Jeff Wilkins kick),7,14
3.0,8:56,Chargers,Marlon McCree 79 yard defensive fumble return (Nate Kaeding kick),7,21
,7:18,Rams,Jeff Wilkins 34 yard field goal,10,21
,3:17,Chargers,Nate Kaeding 31 yard field goal,10,24
4.0,11:44,Chargers,Michael Turner 14 yard rush (Nate Kaeding kick),10,31
,6:39,Rams,Shaun McDonald 7 yard pass from Marc Bulger (Jeff Wilkins kick),17,31
,3:58,Chargers,LaDainian Tomlinson 25 yard pass from Philip Rivers (Nate Kaeding kick),17,38
,1:31,Rams,Kevin Curtis 6 yard pass from Marc Bulger (Jeff Wilkins kick),24,38
