Unnamed: 0,STL,SDG
First Downs,23,21
Rush-Yds-TDs,21-101-1,35-216-3
Cmp-Att-Yd-TD-INT,27-40-327-2-0,15-23-206-1-0
Sacked-Yards,3-16,1-3
Net Pass Yards,311,203
Total Yards,412,419
Fumbles-Lost,3-1,0-0
Turnovers,1,0
Penalties-Yards,4-20,3-43
Third Down Conv.,5-12,7-13
Fourth Down Conv.,1-1,0-1
Time of Possession,29:06,30:54
