Quarter,Time,Down,ToGo,Location,STL,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Jeff Wilkins kicks off 72 yards, returned by Michael Turner for 22 yards (tackle by Claude Wroten)",0.000,0.280
1,14:54,1,10,SDG 20,0,0,LaDainian Tomlinson left tackle for 5 yards (tackle by La'Roi Glover),0.280,0.410
1,14:13,2,5,SDG 25,0,0,LaDainian Tomlinson middle for 5 yards (tackle by Will Witherspoon),0.410,0.940
1,13:30,1,10,SDG 30,0,0,Eric Parker left end for 1 yard (tackle by Victor Adeyanju),0.940,0.530
1,12:39,2,9,SDG 31,0,0,Philip Rivers sacked by Corey Chavous for -3 yards,0.530,-0.560
1,12:05,3,12,SDG 28,0,0,Philip Rivers pass complete short left to Eric Parker for 16 yards (tackle by Will Witherspoon and Raonall Smith),-0.560,1.860
1,11:23,1,10,SDG 44,0,0,Philip Rivers pass complete short right to Keenan McCardell for 11 yards (tackle by Will Witherspoon),1.860,2.590
1,10:46,1,10,STL 45,0,0,LaDainian Tomlinson left end for 6 yards (tackle by Victor Adeyanju and Fakhir Brown),2.590,2.850
1,10:04,2,4,STL 39,0,0,LaDainian Tomlinson middle for 3 yards (tackle by Brandon Chillar),2.850,2.540
1,9:22,3,1,STL 36,0,0,Michael Turner middle for 5 yards (tackle by Brandon Green and Will Witherspoon),2.540,3.510
1,8:39,1,10,STL 31,0,0,LaDainian Tomlinson middle for 2 yards (tackle by Leonard Little),3.510,3.240
1,7:58,2,8,STL 29,0,0,Philip Rivers pass complete short middle to Antonio Gates for 27 yards (tackle by Will Witherspoon and Fakhir Brown),3.240,6.740
1,7:10,1,2,STL 2,0,6,"LaDainian Tomlinson left tackle for 2 yards, touchdown",6.740,7.000
1,,,,STL 2,0,7,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,0,7,"Nate Kaeding kicks off 64 yards, returned by Tony Fisher for 19 yards (tackle by Steve Gregory)",0.000,0.610
1,7:01,1,10,STL 25,0,7,Steven Jackson left tackle for 5 yards (tackle by Randall Godfrey and Luis Castillo),0.610,0.740
1,6:26,2,5,STL 30,0,7,Marc Bulger sacked by Shawne Merriman for -7 yards,0.740,-0.890
1,5:56,3,12,STL 23,0,7,"Penalty on SDG: Neutral Zone Infraction, 6 yards (no play)",-0.890,-0.100
1,5:30,3,6,STL 29,0,7,Marc Bulger pass incomplete deep left intended for Isaac Bruce,-0.100,-1.440
1,5:24,4,6,STL 29,0,7,"Matt Turk punts 37 yards, returned by Eric Parker for 10 yards (tackle by Isaiah Kacyvenski)",-1.440,-1.860
1,5:10,1,10,SDG 44,0,7,LaDainian Tomlinson right end for 2 yards (tackle by Brandon Chillar),1.860,1.590
1,4:27,2,8,SDG 46,0,7,Philip Rivers pass complete short left to Antonio Gates for 16 yards (tackle by Brandon Chillar),1.590,3.050
1,3:41,1,10,STL 38,0,13,"LaDainian Tomlinson middle for 38 yards, touchdown",3.050,7.000
1,,,,STL 2,0,14,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,0,14,"Nate Kaeding kicks off 65 yards, returned by Tony Fisher for 21 yards (tackle by Steve Gregory)",0.000,0.670
1,3:29,1,10,STL 26,0,14,Steven Jackson middle for 4 yards (tackle by Jamal Williams and Stephen Cooper),0.670,0.670
1,2:51,2,6,STL 30,0,14,Marc Bulger pass complete short left to Torry Holt for 11 yards (tackle by Drayton Florence),0.670,1.660
1,2:10,1,10,STL 41,0,14,Marc Bulger pass complete deep right to Kevin Curtis for 22 yards,1.660,3.120
1,1:48,1,10,SDG 37,0,14,Marc Bulger sacked by Shawne Merriman for -4 yards,3.120,2.030
1,1:16,2,14,SDG 41,0,14,Steven Jackson middle for 4 yards (tackle by Randall Godfrey and Jamal Williams),2.030,1.880
1,0:30,3,10,SDG 37,0,14,Marc Bulger pass complete short middle to Tony Fisher for 6 yards (tackle by Donnie Edwards),1.880,1.370
Quarter,Time,Down,ToGo,Location,STL,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,4,SDG 31,0,14,Marc Bulger pass complete short middle to Kevin Curtis for 7 yards (tackle by Donnie Edwards). Penalty on Quentin Jammer: Illegal Use of Hands (Declined),1.370,3.970
2,14:37,1,10,SDG 24,0,14,Steven Jackson middle for 5 yards (tackle by Derreck Robinson and Jamal Williams),3.970,4.120
2,13:57,2,5,SDG 19,0,14,Marc Bulger pass complete short left to Kevin Curtis for 12 yards (tackle by Luis Castillo and Marlon McCree),4.120,5.600
2,13:15,1,7,SDG 7,0,14,Steven Jackson middle for 4 yards (tackle by Marlon McCree and Stephen Cooper),5.600,5.530
2,12:32,2,3,SDG 3,6,14,"Steven Jackson left end for 3 yards, touchdown",5.530,7.000
2,,,,SDG 2,7,14,Jeff Wilkins kicks extra point good,0.000,0.000
2,,,,STL 30,7,14,"Jeff Wilkins kicks off 65 yards, returned by Michael Turner for 22 yards (tackle by Tony Fisher)",0.000,0.740
2,12:21,1,10,SDG 27,7,14,Philip Rivers middle for 7 yards (tackle by Brandon Chillar),0.740,1.140
2,12:21,2,3,SDG 34,7,14,LaDainian Tomlinson right end for no gain (tackle by Leonard Little),1.140,0.430
2,10:54,3,3,SDG 34,7,14,LaDainian Tomlinson left tackle for 4 yards (tackle by Will Witherspoon),0.430,1.470
2,10:11,1,10,SDG 38,7,14,LaDainian Tomlinson middle for 5 yards (tackle by Dexter Coakley),1.470,1.600
2,9:32,2,5,SDG 43,7,14,Michael Turner middle for 2 yards (tackle by Brandon Chillar and Claude Wroten),1.600,1.160
2,8:47,3,3,SDG 45,7,14,LaDainian Tomlinson left end for 1 yard (tackle by Will Witherspoon),1.160,-0.320
2,8:28,4,2,SDG 46,7,14,"Mike Scifres punts 46 yards, fair catch by Shaun McDonald",-0.320,0.380
2,8:19,1,10,STL 8,7,14,Marc Bulger pass incomplete short left intended for Torry Holt,-0.380,-0.780
2,8:15,2,10,STL 8,7,14,Steven Jackson middle for 2 yards (tackle by Terrence Kiel and Donnie Edwards),-0.780,-1.190
2,7:33,3,8,STL 10,7,14,Marc Bulger pass incomplete deep left intended for Isaac Bruce,-1.190,-2.490
2,7:27,4,8,STL 10,7,14,"Matt Turk punts 45 yards, returned by Eric Parker for 8 yards (tackle by Raonall Smith)",-2.490,-2.460
2,7:16,1,10,STL 47,7,14,Philip Rivers pass incomplete,2.460,1.910
2,7:10,2,10,STL 47,7,14,Philip Rivers pass incomplete deep middle intended for Eric Parker,1.910,1.220
2,7:05,3,10,STL 47,7,14,Philip Rivers pass complete short middle to Malcom Floyd for 5 yards (tackle by Fakhir Brown),1.220,0.460
2,6:24,4,5,STL 42,7,14,Philip Rivers pass complete short middle to Eric Parker for 2 yards (tackle by Fakhir Brown),0.460,-1.600
2,6:17,1,10,STL 40,7,14,Marc Bulger pass complete short right to Torry Holt for 9 yards (tackle by Quentin Jammer),1.600,2.270
,,,,,,,"SDG challenged the ruling, and the play was upheld.",,
2,5:57,2,1,STL 49,7,14,Steven Jackson left tackle for no gain (tackle by Marlon McCree and Jacques Cesaire),2.270,1.550
2,5:22,3,1,STL 49,7,14,Steven Jackson left tackle for 5 yards (tackle by Luis Castillo and Terrence Kiel),1.550,2.520
2,4:46,1,10,SDG 46,7,14,Marc Bulger pass incomplete deep left intended for Torry Holt (defended by Antonio Cromartie),2.520,1.980
2,4:39,2,10,SDG 46,7,14,Steven Jackson middle for no gain (tackle by Shawne Merriman),1.980,1.290
2,3:55,,,,7,14,Timeout #1 by St. Louis Rams,0.000,0.000
2,3:55,,,,7,14,Timeout #2 by San Diego Chargers,0.000,1.290
2,3:55,3,10,SDG 46,7,14,Marc Bulger pass incomplete short left intended for Tony Fisher,1.290,0.200
2,3:52,4,10,SDG 46,7,14,Matt Turk punts 42 yards,0.200,0.380
2,3:40,1,10,SDG 4,7,14,LaDainian Tomlinson middle for 8 yards (tackle by Corey Chavous),-0.380,-0.200
2,3:04,2,2,SDG 12,7,14,LaDainian Tomlinson right tackle for 3 yards (tackle by Leonard Little and Jimmy Kennedy),-0.200,-0.220
