Quarter,Time,Tm,Detail,ATL,DEN
1.0,11:18,Falcons,Devonta Freeman 1 yard rush (Matt Bryant kick),7,0
,4:23,Falcons,Matt Bryant 46 yard field goal,10,0
2.0,11:39,Broncos,Brandon McManus 35 yard field goal,10,3
,1:48,Falcons,Matt Bryant 33 yard field goal,13,3
3.0,7:53,Falcons,Tevin Coleman 31 yard pass from Matt Ryan (Matt Bryant kick),20,3
4.0,11:01,Broncos,Brandon McManus 46 yard field goal,20,6
,8:20,Falcons,Matt Bryant 25 yard field goal,23,6
,2:38,Broncos,Demaryius Thomas 3 yard pass from Paxton Lynch (Brandon McManus kick),23,13
,0:14,Broncos,Brandon McManus 45 yard field goal,23,16
