Unnamed: 0,ATL,DEN
First Downs,19,18
Rush-Yds-TDs,32-122-1,24-84-0
Cmp-Att-Yd-TD-INT,15-28-267-1-0,23-35-223-1-1
Sacked-Yards,2-17,6-40
Net Pass Yards,250,183
Total Yards,372,267
Fumbles-Lost,1-1,3-0
Turnovers,1,1
Penalties-Yards,7-78,8-57
Third Down Conv.,2-12,4-16
Fourth Down Conv.,2-3,4-4
Time of Possession,28:52,31:08
