Unnamed: 0,BAL,PIT
First Downs,17,21
Rush-Yds-TDs,23-88-1,34-88-1
Cmp-Att-Yd-TD-INT,22-43-152-1-1,21-29-260-3-0
Sacked-Yards,2-9,2-9
Net Pass Yards,143,251
Total Yards,231,339
Fumbles-Lost,4-1,2-1
Turnovers,2,1
Penalties-Yards,10-81,9-138
Third Down Conv.,5-16,7-15
Fourth Down Conv.,1-2,1-1
Time of Possession,27:20,32:40
