Unnamed: 0,MIN,CAR
First Downs,22,21
Rush-Yds-TDs,33-132-2,27-140-0
Cmp-Att-Yd-TD-INT,18-28-236-1-0,22-35-290-3-0
Sacked-Yards,4-7,3-25
Net Pass Yards,229,265
Total Yards,361,405
Fumbles-Lost,2-1,3-2
Turnovers,1,2
Penalties-Yards,4-43,6-60
Third Down Conv.,7-14,6-12
Fourth Down Conv.,0-0,1-1
Time of Possession,32:05,27:55
