Quarter,Time,Down,ToGo,Location,KAN,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Matt Prater kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,KAN 20,0,0,Thomas Jones left guard for 2 yards (tackle by Elvis Dumervil),0.280,0.000
1,14:25,2,8,KAN 22,0,0,Thomas Jones up the middle for 1 yard (tackle by Joe Mays),0.000,-0.560
1,13:44,3,7,KAN 23,0,0,Kyle Orton pass complete short right to Jonathan Baldwin for 10 yards (tackle by Chris Harris),-0.560,1.140
1,13:03,1,10,KAN 33,0,0,Kyle Orton pass complete short left to Dwayne Bowe for 21 yards. Penalty on Champ Bailey: Illegal Contact (Declined),1.140,2.520
1,12:45,1,10,DEN 46,0,0,Dexter McCluster right end for 6 yards (tackle by Quinton Carter and Brodrick Bunkley),2.520,2.790
1,12:03,2,4,DEN 40,0,0,"Penalty on Barry Richardson: False Start, 5 yards (no play)",2.790,2.110
1,11:33,2,9,DEN 45,0,0,Kyle Orton pass incomplete short left intended for Steve Breaston (defended by D.J. Williams),2.110,1.420
1,11:28,3,9,DEN 45,0,0,Kyle Orton pass incomplete short right intended for Jonathan Baldwin,1.420,0.270
1,11:23,4,9,DEN 45,0,0,"Dustin Colquitt punts 35 yards, fair catch by Eddie Royal",0.270,0.370
1,11:15,1,10,DEN 11,0,0,Willis McGahee up the middle for 2 yards (tackle by Kelly Gregg),-0.370,-0.630
1,10:41,2,8,DEN 13,0,0,Lance Ball left end for no gain (tackle by Brandon Carr),-0.630,-1.190
1,10:01,3,8,DEN 13,0,0,Tim Tebow up the middle for 6 yards (tackle by Derrick O. Johnson),-1.190,-2.140
1,9:26,4,2,DEN 19,0,0,"Britton Colquitt punts 51 yards, returned by Javier Arenas for 12 yards (tackle by Virgil Green)",-2.140,-1.730
1,9:12,1,10,KAN 42,0,0,Thomas Jones right end for 6 yards (tackle by D.J. Williams),1.730,2.000
1,8:46,2,4,KAN 48,0,0,Kyle Orton pass complete short right to Dwayne Bowe for 22 yards (tackle by Elvis Dumervil),2.000,3.580
1,8:06,1,10,DEN 30,0,0,Thomas Jones left end for 4 yards (tackle by Elvis Dumervil),3.580,3.570
1,7:43,2,6,DEN 26,0,0,Kyle Orton pass incomplete short right intended for Thomas Jones,3.570,2.870
1,7:40,3,6,DEN 26,0,0,Kyle Orton pass incomplete short right intended for Steve Breaston,2.870,1.760
1,7:35,4,6,DEN 26,0,0,Ryan Succop 44 yard field goal no good,1.760,-1.200
1,7:30,1,10,DEN 34,0,0,Tim Tebow pass incomplete short right intended for Virgil Green,1.200,0.660
1,7:20,2,10,DEN 34,0,0,Willis McGahee up the middle for 6 yards (tackle by Tamba Hali),0.660,0.760
1,6:53,3,4,DEN 40,0,0,Tim Tebow pass incomplete short left intended for Eddie Royal,0.760,-0.720
1,6:48,4,4,DEN 40,0,0,"Penalty on Dante Rosario: False Start, 5 yards (no play)",-0.720,-1.040
1,6:48,4,9,DEN 35,0,0,Britton Colquitt punts 55 yards,-1.040,0.380
1,6:33,1,10,KAN 10,0,0,Le'Ron McClain left tackle for 4 yards (tackle by Champ Bailey),-0.380,-0.460
1,6:04,2,6,KAN 14,0,0,Dexter McCluster left tackle for 7 yards (tackle by Quinton Carter),-0.460,0.340
1,5:21,1,10,KAN 21,0,0,Kyle Orton pass incomplete short left intended for Le'Ron McClain,0.340,-0.200
1,5:17,2,10,KAN 21,0,0,Kyle Orton pass complete deep right to Dwayne Bowe for 18 yards,-0.200,1.530
1,4:49,1,10,KAN 39,0,0,Thomas Jones right tackle for 4 yards (tackle by Elvis Dumervil),1.530,1.530
1,4:16,2,6,KAN 43,0,0,Kyle Orton pass complete short left to Dwayne Bowe for 5 yards (tackle by Champ Bailey),1.530,1.490
1,3:35,3,1,KAN 48,0,0,Thomas Jones left end for 2 yards (tackle by Elvis Dumervil and Joe Mays),1.490,2.260
1,2:52,1,10,,0,0,Kyle Orton pass incomplete deep right intended for Dwayne Bowe (defended by Champ Bailey),2.260,1.710
1,2:45,2,10,,0,0,Dexter McCluster up the middle for 10 yards (tackle by David Bruton),1.710,2.920
1,2:07,1,10,DEN 40,0,0,Kyle Orton sacked by Robert Ayers for -5 yards,2.920,1.700
1,1:31,2,15,DEN 45,0,0,Kyle Orton pass complete short right to Dwayne Bowe for 8 yards,1.700,2.080
1,0:58,3,7,DEN 37,0,0,Dexter McCluster left tackle for 16 yards (tackle by D.J. Williams),2.080,4.170
1,0:20,1,10,DEN 21,6,0,"Dexter McCluster right end for 21 yards, touchdown",4.170,7.000
1,0:20,,,DEN 2,7,0,Ryan Succop kicks extra point good,0.000,0.000
1,0:11,,,KAN 35,7,0,"Ryan Succop kicks off 65 yards, touchback",0.000,0.280
1,0:11,1,10,DEN 20,7,0,Willis McGahee right tackle for 2 yards (tackle by Jovan Belcher and Tyson Jackson),0.280,0.000
Quarter,Time,Down,ToGo,Location,KAN,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,DEN 22,7,0,Tim Tebow pass complete short left to Spencer Larsen for 7 yards (tackle by Kendrick Lewis),0.000,0.230
2,14:23,3,1,DEN 29,7,0,"Penalty on Zane Beadles: False Start, 4 yards (no play)",0.230,-0.300
2,13:58,3,5,DEN 25,7,0,Tim Tebow right end for 7 yards (tackle by Justin Houston),-0.300,1.070
2,13:15,1,10,DEN 32,7,0,Willis McGahee right tackle for 8 yards (tackle by Sabby Piscitelli),1.070,1.610
2,12:36,2,2,DEN 40,7,0,Willis McGahee up the middle for 11 yards (tackle by Sabby Piscitelli),1.610,2.320
2,11:58,1,10,KAN 49,7,0,Willis McGahee right guard for 14 yards (tackle by Kendrick Lewis),2.320,3.250
2,11:24,1,10,KAN 35,7,0,Lance Ball left end for -3 yards (tackle by Justin Houston),3.250,2.300
2,10:42,2,13,KAN 38,7,0,Tim Tebow pass complete short left to Demaryius Thomas for 17 yards (tackle by Brandon Carr),2.300,4.170
2,10:08,1,10,KAN 21,7,0,Willis McGahee left tackle for 1 yard (tackle by Amon Gordon),4.170,3.760
2,9:29,2,9,KAN 20,7,0,Willis McGahee right tackle for 5 yards (tackle by Jovan Belcher),3.760,3.810
2,8:47,3,4,KAN 15,7,0,"Tim Tebow left end for 1 yard (tackle by Kendrick Lewis). Tim Tebow fumbles (forced by Kendrick Lewis), recovered by Justin Houston at KAN-14 (tackle by Daniel Fells)",3.810,0.220
2,8:37,1,10,KAN 15,7,0,Thomas Jones right guard for 2 yards (tackle by Robert Ayers),-0.220,-0.440
2,7:59,2,8,KAN 17,7,0,Kyle Orton pass complete short middle to Dexter McCluster for 19 yards (tackle by David Bruton),-0.440,1.330
2,7:26,1,10,KAN 36,7,0,Thomas Jones up the middle for 2 yards (tackle by D.J. Williams),1.330,1.060
2,6:49,2,8,KAN 38,7,0,Dexter McCluster right guard for 5 yards (tackle by David Bruton),1.060,1.030
2,6:12,3,3,KAN 43,7,0,Kyle Orton pass incomplete short right intended for Jonathan Baldwin (defended by Andre' Goodman),1.030,-0.520
2,6:07,4,3,KAN 43,7,0,"Dustin Colquitt punts 43 yards, fair catch by Eddie Royal",-0.520,0.280
2,5:59,1,10,DEN 14,7,0,Willis McGahee left guard for 15 yards (tackle by Jovan Belcher),-0.280,0.870
2,5:25,1,10,DEN 29,7,0,Willis McGahee right guard for 3 yards (tackle by Kelly Gregg),0.870,0.730
2,4:47,2,7,DEN 32,7,0,Tim Tebow pass incomplete short right intended for Demaryius Thomas (defended by Brandon Flowers),0.730,0.040
2,4:39,3,7,DEN 32,7,0,Tim Tebow pass complete short right to Eric Decker for 5 yards (tackle by Javier Arenas),0.040,-0.910
2,4:30,4,2,DEN 37,7,0,"Britton Colquitt punts 55 yards, returned by Javier Arenas for 10 yards (tackle by Rafael Bush)",-0.910,-0.040
2,4:16,1,10,KAN 18,7,0,Dexter McCluster right tackle for 1 yard (tackle by Marcus Thomas),0.040,-0.320
2,3:44,2,9,KAN 19,7,0,Dexter McCluster up the middle for -7 yards (tackle by Marcus Thomas),-0.320,-2.120
2,3:01,3,16,KAN 12,7,0,Thomas Jones up the middle for 7 yards (tackle by Joe Mays),-2.120,-2.140
2,2:23,4,9,KAN 19,7,0,Dustin Colquitt punts 55 yards,-2.140,-0.670
2,2:07,1,10,DEN 26,7,0,Willis McGahee up the middle for 7 yards (tackle by Amon Gordon),0.670,1.070
2,2:00,2,3,DEN 33,7,0,Willis McGahee up the middle for 12 yards (tackle by Justin Houston),1.070,1.930
2,1:29,1,10,DEN 45,7,0,Willis McGahee right tackle for 1 yard (tackle by Justin Houston and Glenn Dorsey),1.930,1.520
2,1:00,2,9,DEN 46,7,0,Tim Tebow up the middle for 4 yards (tackle by Allen Bailey),1.520,1.360
2,0:54,,,,7,0,Timeout #1 by Denver Broncos,0.000,1.360
2,0:54,3,5,,7,0,Eddie Royal left end for 10 yards (tackle by Travis Daniels),1.360,2.920
2,0:48,1,10,KAN 40,7,0,Tim Tebow pass incomplete deep left intended for Demaryius Thomas (defended by Brandon Carr),2.920,2.370
2,0:43,2,10,KAN 40,7,0,Tim Tebow up the middle for 1 yard (tackle by Javier Arenas),2.370,1.820
2,0:36,,,,7,0,Timeout #2 by Denver Broncos,0.000,1.820
2,0:36,3,9,KAN 39,7,0,Tim Tebow pass incomplete short right intended for Demaryius Thomas,1.820,0.660
2,0:31,4,9,KAN 39,7,0,"Britton Colquitt punts 39 yards, touchback",0.660,-0.280
2,0:22,1,10,KAN 20,7,0,Kyle Orton pass complete deep middle to Dwayne Bowe for 19 yards (tackle by Champ Bailey),0.280,1.530
2,0:16,,,,7,0,Timeout #1 by Kansas City Chiefs,0.000,1.530
