Unnamed: 0,KAN,DEN
First Downs,14,16
Rush-Yds-TDs,30-106-1,47-216-0
Cmp-Att-Yd-TD-INT,15-29-180-0-0,6-22-60-0-1
Sacked-Yards,1-5,2-10
Net Pass Yards,175,50
Total Yards,281,266
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,6-36,6-49
Third Down Conv.,5-15,5-18
Fourth Down Conv.,0-0,0-1
Time of Possession,27:02,32:58
