Unnamed: 0,GNB,BAL
First Downs,26,24
Rush-Yds-TDs,25-96-1,26-143-2
Cmp-Att-Yd-TD-INT,23-31-268-3-0,28-40-215-2-0
Sacked-Yards,3-18,1-4
Net Pass Yards,250,211
Total Yards,346,354
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,8-76,8-56
Third Down Conv.,5-9,7-13
Fourth Down Conv.,0-0,2-4
Time of Possession,31:10,28:50
