Quarter,Time,Tm,Detail,GNB,BAL
1.0,2:33,Ravens,Mark Andrews 8 yard pass from Tyler Huntley (Justin Tucker kick),0,7
2.0,12:50,Packers,AJ Dillon 2 yard rush (Mason Crosby kick),7,7
,7:07,Ravens,Mark Andrews 9 yard pass from Tyler Huntley (Justin Tucker kick),7,14
,1:09,Packers,Davante Adams 3 yard pass from Aaron Rodgers (Mason Crosby kick),14,14
3.0,7:40,Packers,Aaron Jones 9 yard pass from Aaron Rodgers (Mason Crosby kick),21,14
,3:20,Ravens,Justin Tucker 38 yard field goal,21,17
4.0,12:54,Packers,Marquez Valdes-Scantling 11 yard pass from Aaron Rodgers (Mason Crosby kick),28,17
,9:26,Packers,Mason Crosby 29 yard field goal,31,17
,4:47,Ravens,Tyler Huntley 3 yard rush (Justin Tucker kick),31,24
,0:42,Ravens,Tyler Huntley 8 yard rush (pass failed),31,30
