Unnamed: 0,ATL,BUF
First Downs,26,19
Rush-Yds-TDs,30-151-3,31-195-3
Cmp-Att-Yd-TD-INT,28-47-311-1-0,18-32-210-1-0
Sacked-Yards,6-39,0-0
Net Pass Yards,272,210
Total Yards,423,405
Fumbles-Lost,1-1,4-2
Turnovers,1,2
Penalties-Yards,8-75,6-49
Third Down Conv.,10-18,5-14
Fourth Down Conv.,0-0,0-0
Time of Possession,38:09,24:51
