#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,,3,2:10,2,Punt
2,1,10:54,ATL 20,3,1:58,-7,Punt
3,1,5:00,ATL 19,5,2:30,81,Touchdown
4,1,0:09,ATL 22,5,2:20,21,Punt
5,2,7:24,ATL 29,6,2:35,71,Touchdown
6,2,2:49,ATL 33,9,2:49,36,Field Goal
7,3,13:43,ATL 45,10,5:30,55,Touchdown
8,3,6:51,ATL 18,2,0:41,3,Fumble
9,3,6:01,ATL 19,8,4:25,37,Punt
10,3,0:32,,6,2:41,10,Punt
11,4,11:48,ATL 20,3,1:00,6,Punt
12,4,9:58,ATL 31,8,3:56,26,Punt
13,4,4:26,ATL 35,11,2:58,65,Touchdown
14,4,0:20,ATL 28,1,0:20,0,End of Half
15,5,14:16,BUF 47,5,2:16,30,Field Goal
