Quarter,Time,Tm,Detail,ATL,ARI
1.0,9:23,Falcons,Calvin Ridley 9 yard pass from Matt Ryan (Matt Bryant kick),7,0
,5:41,Cardinals,Zane Gonzalez 39 yard field goal,7,3
2.0,13:02,Cardinals,Chase Edmonds 2 yard pass from Kyler Murray (Zane Gonzalez kick),7,10
,9:02,Cardinals,David Johnson 1 yard rush (Zane Gonzalez kick),7,17
,3:37,Falcons,Matt Bryant 29 yard field goal,10,17
,0:04,Cardinals,Zane Gonzalez 22 yard field goal,10,20
3.0,11:25,Cardinals,Maxx Williams 20 yard pass from Kyler Murray (Zane Gonzalez kick),10,27
,7:46,Falcons,Matt Bryant 44 yard field goal,13,27
,1:02,Falcons,Devonta Freeman 7 yard pass from Matt Ryan (Matt Bryant kick),20,27
4.0,10:50,Falcons,Austin Hooper 6 yard pass from Matt Ryan (Matt Bryant kick),27,27
,5:12,Cardinals,David Johnson 14 yard pass from Kyler Murray (Zane Gonzalez kick),27,34
,1:53,Falcons,Devonta Freeman 12 yard pass from Matt Ryan (Matt Bryant kick failed),33,34
