Unnamed: 0,ATL,ARI
First Downs,31,24
Rush-Yds-TDs,25-103-0,29-102-1
Cmp-Att-Yd-TD-INT,30-36-356-4-0,27-37-340-3-0
Sacked-Yards,2-15,0-0
Net Pass Yards,341,340
Total Yards,444,442
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,8-72,8-57
Third Down Conv.,6-11,7-13
Fourth Down Conv.,0-0,1-1
Time of Possession,32:47,27:13
