Quarter,Time,Tm,Detail,SFO,PHI
1.0,4:45,Eagles,Jake Elliott 45 yard field goal,0,3
2.0,0:12,49ers,Jauan Jennings 11 yard pass from Jimmy Garoppolo (Robbie Gould kick),7,3
4.0,10:52,49ers,Jimmy Garoppolo 1 yard rush (Robbie Gould kick),14,3
,5:07,49ers,Robbie Gould 46 yard field goal,17,3
,4:02,Eagles,Jalen Hurts 1 yard rush (Kenneth Gainwell run),17,11
