Unnamed: 0,SFO,PHI
First Downs,23,18
Rush-Yds-TDs,38-117-1,29-151-1
Cmp-Att-Yd-TD-INT,22-30-189-1-0,12-24-190-0-0
Sacked-Yards,0-0,2-13
Net Pass Yards,189,177
Total Yards,306,328
Fumbles-Lost,2-0,1-0
Turnovers,0,0
Penalties-Yards,5-60,8-57
Third Down Conv.,6-14,5-12
Fourth Down Conv.,1-1,0-1
Time of Possession,34:54,25:06
