Unnamed: 0,NOR,ATL
First Downs,27,11
Rush-Yds-TDs,36-164-3,22-130-1
Cmp-Att-Yd-TD-INT,23-31-352-3-0,9-29-115-1-1
Sacked-Yards,3-10,1-7
Net Pass Yards,342,108
Total Yards,506,238
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,7-54,5-78
Third Down Conv.,10-16,3-12
Fourth Down Conv.,1-1,1-1
Time of Possession,38:10,21:50
