Unnamed: 0,JAX,IND
First Downs,21,22
Rush-Yds-TDs,28-142-0,24-60-0
Cmp-Att-Yd-TD-INT,28-50-298-1-0,30-47-282-1-0
Sacked-Yards,1-9,3-16
Net Pass Yards,289,266
Total Yards,431,326
Fumbles-Lost,3-0,3-2
Turnovers,0,2
Penalties-Yards,13-92,4-45
Third Down Conv.,7-18,7-15
Fourth Down Conv.,0-0,0-0
Time of Possession,36:10,34:14
