Quarter,Time,Down,ToGo,Location,IND,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,NWE 30,0,0,"Adam Vinatieri kicks off 61 yards, returned by Dominic Rhodes for 37 yards (tackle by Eugene Wilson)",0.000,1.990
1,14:54,1,10,IND 46,0,0,Edgerrin James left end for -3 yards (tackle by Mike Vrabel and Tedy Bruschi),1.990,1.050
1,14:15,2,13,IND 43,0,0,Peyton Manning pass complete to Marvin Harrison for 48 yards (tackle by Asante Samuel and Randall Gay),1.050,5.140
1,13:33,1,9,NWE 9,0,0,Edgerrin James right end for 6 yards (tackle by Asante Samuel and Rosevelt Colvin),5.140,5.530
1,13:00,2,3,NWE 3,0,0,Edgerrin James right guard for 2 yards (tackle by Willie McGinest and Ty Warren),5.530,5.170
1,12:33,,,,0,0,Timeout #1 by New England Patriots,0.000,5.170
1,12:33,3,1,NWE 1,6,0,"Peyton Manning pass complete to Marvin Harrison for 1 yard, touchdown",5.170,7.000
1,,,,NWE 2,7,0,Mike Vanderjagt kicks extra point good,0.000,0.000
1,,,,IND 30,7,0,"Dave Rayner kicks off 57 yards, returned by Bethel Johnson for 18 yards (tackle by Rob Morris)",0.000,1.000
1,12:25,1,10,NWE 31,7,0,Corey Dillon up the middle for 4 yards (tackle by Gary Brackett and David Thornton),1.000,1.000
1,11:49,2,6,NWE 35,7,0,Tom Brady pass complete to Deion Branch for 9 yards (tackle by Nick Harper),1.000,1.860
1,11:14,1,10,NWE 44,7,0,Corey Dillon right guard for 10 yards (tackle by Raheem Brock and Montae Reagor),1.860,2.520
1,10:36,1,10,IND 46,7,0,Corey Dillon right guard for no gain (tackle by Nick Harper and Mike Doss),2.520,1.980
1,10:02,2,10,IND 46,7,0,Tom Brady pass complete to Corey Dillon for 16 yards (tackle by Bob Sanders),1.980,3.580
1,9:25,1,10,IND 30,7,0,Tom Brady pass complete to Troy Brown for 4 yards (tackle by Gary Brackett),3.580,3.570
1,8:44,2,6,IND 26,7,0,Mike Cloud right end for -5 yards (tackle by Montae Reagor and Robert Mathis),3.570,2.210
1,8:05,3,11,IND 31,7,0,Tom Brady pass complete to Daniel Graham for 10 yards (tackle by Marlin Jackson),2.210,2.210
1,7:21,4,1,IND 21,7,0,Tom Brady pass complete to David Givens for 5 yards (tackle by Nick Harper),2.210,4.510
1,6:39,1,10,IND 16,7,0,Corey Dillon up the middle for no gain (tackle by Corey Simon and Larry Tripplett),4.510,3.900
1,5:57,2,10,IND 16,7,6,"Tom Brady pass complete to Deion Branch for 16 yards, touchdown",3.900,7.000
1,,,,IND 2,7,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,,,,NWE 30,7,7,"Adam Vinatieri kicks off 69 yards, returned by Dominic Rhodes for 31 yards (tackle by Eugene Wilson)",0.000,1.070
1,5:47,1,10,IND 32,7,7,Edgerrin James left end for 7 yards (tackle by Randall Gay and Ty Warren),1.070,1.470
1,5:14,2,3,IND 39,7,7,Edgerrin James right end for 6 yards (tackle by Jarvis Green),1.470,1.930
1,4:38,1,10,IND 45,7,7,Peyton Manning pass incomplete intended for Marvin Harrison (defended by Asante Samuel),1.930,1.380
1,4:33,2,10,IND 45,7,7,Peyton Manning pass complete to Edgerrin James for -3 yards (tackle by Willie McGinest and Jarvis Green). Penalty on Tarik Glenn: Offensive Holding (Declined),1.380,0.300
1,4:03,3,13,IND 42,7,7,Peyton Manning pass complete to Reggie Wayne for 12 yards (tackle by Duane Starks),0.300,0.200
1,3:15,,,,7,7,Timeout #1 by Indianapolis Colts,0.000,0.200
1,3:15,4,1,NWE 46,7,7,Edgerrin James right guard for 2 yards (tackle by Tedy Bruschi),0.200,2.650
1,2:33,1,10,NWE 44,7,7,Peyton Manning pass incomplete intended for Dallas Clark,2.650,2.110
1,2:26,2,10,NWE 44,7,7,Edgerrin James left end for 8 yards (tackle by Randall Gay),2.110,2.480
1,1:45,3,2,NWE 36,7,7,Peyton Manning pass complete to Reggie Wayne for 7 yards (tackle by Duane Starks and Eugene Wilson),2.480,3.640
1,1:08,1,10,NWE 29,7,7,"Penalty on Tarik Glenn: False Start, 5 yards (no play)",3.640,3.310
1,0:51,1,15,NWE 34,7,7,Peyton Manning for 8 yards,3.310,3.510
1,0:23,2,7,NWE 26,7,7,Edgerrin James left tackle for 5 yards (tackle by Mike Vrabel),3.510,3.470
Quarter,Time,Down,ToGo,Location,IND,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,NWE 21,7,7,Peyton Manning pass complete to Dallas Clark for 4 yards (tackle by Asante Samuel),3.470,4.440
2,14:26,1,10,NWE 17,7,7,Edgerrin James up the middle for 2 yards (tackle by Ty Warren and Tedy Bruschi),4.440,4.150
2,13:45,2,8,NWE 15,7,7,Peyton Manning pass complete to Reggie Wayne for 7 yards (tackle by Duane Starks),4.150,4.800
2,13:11,3,1,NWE 8,7,7,Edgerrin James left guard for 3 yards (tackle by Vince Wilfork),4.800,6.060
2,12:28,1,5,NWE 5,7,7,Edgerrin James left tackle for 3 yards (tackle by Tedy Bruschi and Mike Vrabel),6.060,5.720
2,11:54,2,2,NWE 2,13,7,"Edgerrin James right guard for 2 yards, touchdown",5.720,7.000
2,,,,NWE 2,14,7,Mike Vanderjagt kicks extra point good,0.000,0.000
