Unnamed: 0,IND,NWE
First Downs,28,17
Rush-Yds-TDs,38-132-2,14-34-0
Cmp-Att-Yd-TD-INT,28-37-321-3-1,25-40-285-3-0
Sacked-Yards,0-0,2-31
Net Pass Yards,321,254
Total Yards,453,288
Fumbles-Lost,0-0,3-2
Turnovers,1,2
Penalties-Yards,7-32,4-24
Third Down Conv.,12-17,4-11
Fourth Down Conv.,1-1,2-3
Time of Possession,36:41,23:19
