Quarter,Time,Tm,Detail,IND,NWE
1.0,12:30,Colts,Marvin Harrison 1 yard pass from Peyton Manning (Mike Vanderjagt kick),7,0
,5:52,Patriots,Deion Branch 16 yard pass from Tom Brady (Adam Vinatieri kick),7,7
2.0,11:50,Colts,Edgerrin James 2 yard rush (Mike Vanderjagt kick),14,7
,0:09,Colts,Reggie Wayne 10 yard pass from Peyton Manning (Mike Vanderjagt kick),21,7
3.0,8:36,Colts,Dominic Rhodes 4 yard rush (Mike Vanderjagt kick),28,7
,5:46,Patriots,Daniel Graham 31 yard pass from Tom Brady (Adam Vinatieri kick),28,14
,4:45,Colts,Mike Vanderjagt 35 yard field goal,31,14
4.0,13:58,Colts,Mike Vanderjagt 20 yard field goal,34,14
,10:15,Patriots,Troy Brown 19 yard pass from Tom Brady (Adam Vinatieri kick),34,21
,5:53,Colts,Marvin Harrison 30 yard pass from Peyton Manning (pass failed),40,21
