Quarter,Time,Tm,Detail,SEA,STL
1.0,5:49,Rams,Brandon Gibson 15 yard pass from Sam Bradford (Josh Brown kick),0,7
2.0,14:20,Seahawks,Olindo Mare 22 yard field goal,3,7
,0:00,Rams,Josh Brown 30 yard field goal,3,10
3.0,10:39,Rams,Kenneth Darby 21 yard pass from Sam Bradford (Josh Brown kick),3,17
4.0,2:35,Rams,Josh Brown 31 yard field goal,3,20
