Unnamed: 0,SEA,STL
First Downs,15,19
Rush-Yds-TDs,24-64-0,28-88-0
Cmp-Att-Yd-TD-INT,21-37-219-0-1,23-41-289-2-1
Sacked-Yards,4-26,4-28
Net Pass Yards,193,261
Total Yards,257,349
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,6-49,5-41
Third Down Conv.,4-15,7-16
Fourth Down Conv.,0-2,0-1
Time of Possession,27:10,32:50
