Quarter,Time,Down,ToGo,Location,SEA,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,SEA 30,0,0,"Olindo Mare kicks off 72 yards, returned by Mardy Gilyard for 22 yards (tackle by Matt McCoy)",0.000,0.280
1,14:56,1,10,STL 20,0,0,Steven Jackson middle for -3 yards (tackle by Lawyer Milloy),0.280,-0.790
1,14:21,2,13,STL 17,0,0,Sam Bradford pass complete short left to Mark Clayton for 13 yards (tackle by Kelly Jennings),-0.790,0.940
1,13:48,1,10,STL 30,0,0,Steven Jackson right guard for 3 yards (tackle by Colin Cole),0.940,0.800
1,13:10,2,7,STL 33,0,0,Sam Bradford pass incomplete short middle intended for Mark Clayton,0.800,0.100
1,13:04,3,7,STL 33,0,0,Sam Bradford pass incomplete short right intended for Mark Clayton,0.100,-1.180
1,13:01,4,7,STL 33,0,0,Donnie Jones punts 36 yards,-1.180,-1.000
1,12:50,1,10,SEA 31,0,0,Justin Forsett right tackle for 3 yards (tackle by James Hall),1.000,0.870
1,12:25,2,7,SEA 34,0,0,Justin Forsett left tackle for 1 yard (tackle by Gary Gibson),0.870,0.300
1,11:46,3,6,SEA 35,0,0,Matt Hasselbeck pass complete short right to Brandon Stokley for 6 yards (tackle by Ronald Bartell),0.300,1.660
1,11:32,1,10,SEA 41,0,0,Matt Hasselbeck pass complete short middle to Deon Butler for 14 yards (tackle by James Butler),1.660,2.590
1,10:53,1,10,STL 45,0,0,Golden Tate right end for 1 yard (tackle by James Butler and Na'il Diggs),2.590,2.180
1,10:16,2,9,STL 44,0,0,Matt Hasselbeck pass incomplete deep right intended for Michael Robinson,2.180,1.490
1,10:11,3,9,STL 44,0,0,Matt Hasselbeck pass incomplete short right intended for Mike Williams (defended by Ronald Bartell),1.490,0.330
1,10:05,4,9,STL 44,0,0,"Jon Ryan punts 34 yards, fair catch by Danny Amendola",0.330,0.380
1,9:58,1,10,STL 10,0,0,Steven Jackson left guard for 2 yards (tackle by Kentwan Balmer),-0.380,-0.630
1,9:25,2,8,STL 12,0,0,Sam Bradford pass complete short right to Daniel Fells for 6 yards (tackle by Aaron Curry),-0.630,-0.480
1,8:50,3,2,STL 18,0,0,"Penalty on Chris Clemons: Defensive Offside, 5 yards (no play)",-0.480,0.480
1,8:35,1,10,STL 23,0,0,Sam Bradford pass complete short right to Mardy Gilyard for 4 yards (tackle by Raheem Brock),0.480,0.470
1,7:58,2,6,STL 27,0,0,Sam Bradford pass incomplete short left intended for Mark Clayton,0.470,-0.230
1,7:53,3,6,STL 27,0,0,Sam Bradford pass complete short middle to Mark Clayton for 8 yards (tackle by Marcus Trufant),-0.230,1.270
1,7:18,1,10,STL 35,0,0,Steven Jackson left guard for 16 yards (tackle by Lawyer Milloy),1.270,2.320
1,6:41,1,10,SEA 49,0,0,Sam Bradford pass complete deep right to Mark Clayton for 34 yards (tackle by Marcus Trufant),2.320,4.580
1,6:03,1,10,SEA 15,0,0,Sam Bradford pass incomplete short middle intended for Mark Clayton (defended by David Hawthorne),4.580,3.950
1,5:56,2,10,SEA 15,0,0,Sam Bradford pass incomplete short right intended for Mardy Gilyard,3.950,3.100
1,5:54,3,10,SEA 15,0,6,"Sam Bradford pass complete short middle to Brandon Gibson for 15 yards, touchdown",3.100,7.000
1,,,,SEA 2,0,7,Josh Brown kicks extra point good,0.000,0.000
1,,,,STL 30,0,7,"Josh Brown kicks off 70 yards, returned by Leon Washington for 33 yards (tackle by Bradley Fletcher). Penalty on Roy Lewis: Offensive Holding, 10 yards",0.000,-0.220
1,5:42,1,10,SEA 15,0,7,Justin Forsett left tackle for 3 yards (tackle by Larry Grant),-0.220,-0.280
1,5:11,2,7,SEA 18,0,7,Matt Hasselbeck pass complete short left to Deion Branch for 10 yards (tackle by Bradley Fletcher),-0.280,0.810
1,4:35,1,10,SEA 28,0,7,Matt Hasselbeck pass complete short middle to Justin Forsett for 5 yards (tackle by James Laurinaitis),0.810,0.940
1,3:56,2,5,SEA 33,0,7,Justin Forsett middle for 4 yards (tackle by Chris Long and Larry Grant),0.940,0.760
1,3:23,3,1,SEA 37,0,7,Justin Forsett right tackle for 12 yards (tackle by James Butler),0.760,2.190
1,2:50,1,10,SEA 49,0,7,Matt Hasselbeck pass complete short right to Mike Williams for 8 yards (tackle by Craig Dahl),2.190,2.730
1,2:21,2,2,STL 43,0,7,Michael Robinson middle for 3 yards (tackle by Fred Robbins),2.730,2.920
1,1:51,1,10,STL 40,0,7,Matt Hasselbeck pass incomplete short right intended for John Carlson,2.920,2.370
,,,,,,,"SEA challenged the incomplete pass ruling, and the original play was overturned.",,
1,1:47,2,10,STL 40,0,7,Matt Hasselbeck pass complete short left to Brandon Stokley for 12 yards (tackle by Justin King),2.370,3.710
1,1:13,1,10,STL 28,0,7,Justin Forsett right tackle for 11 yards (tackle by James Butler),3.710,4.440
1,0:42,1,10,STL 17,0,7,"Matt Hasselbeck pass incomplete deep left intended for John Carlson. Penalty on Na'il Diggs: Illegal Contact, 5 yards (no play)",4.440,4.780
1,0:36,1,10,STL 12,0,7,Matt Hasselbeck pass incomplete short right intended for Deon Butler,4.780,4.100
1,0:30,2,10,STL 12,0,7,Justin Forsett right tackle for 5 yards (tackle by James Hall and Na'il Diggs),4.100,4.160
Quarter,Time,Down,ToGo,Location,SEA,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,STL 7,0,7,Matt Hasselbeck middle for 3 yards (tackle by George Selvie),4.160,3.040
2,14:23,4,2,STL 4,3,7,Olindo Mare 22 yard field goal good,3.040,3.000
2,,,,SEA 30,3,7,"Olindo Mare kicks off 70 yards, returned by Mardy Gilyard for 20 yards (tackle by Matt McCoy)",0.000,0.280
2,14:11,1,10,STL 20,3,7,Steven Jackson left guard for 4 yards (tackle by Lofa Tatupu),0.280,0.270
2,13:33,2,6,STL 24,3,7,Sam Bradford pass incomplete short right intended for Mark Clayton,0.270,-0.430
2,13:28,3,6,STL 24,3,7,Sam Bradford pass incomplete short right intended for Mardy Gilyard,-0.430,-1.770
2,13:24,4,6,STL 24,3,7,"Donnie Jones punts 53 yards, returned by Golden Tate for 18 yards (tackle by Chris Massey)",-1.770,-1.660
2,13:11,1,10,SEA 41,3,7,Matt Hasselbeck sacked by David Vobora for -7 yards,1.660,0.180
2,12:47,2,17,SEA 34,3,7,Justin Forsett left tackle for 3 yards (tackle by James Laurinaitis),0.180,-0.100
2,12:07,3,14,SEA 37,3,7,Matt Hasselbeck pass complete short left to Mike Williams for 17 yards (tackle by Bradley Fletcher),-0.100,2.520
2,11:40,1,10,STL 46,3,7,"Penalty on Stacy Andrews: False Start, 5 yards (no play)",2.520,2.190
2,11:22,1,15,SEA 49,3,7,Justin Forsett middle for no gain (tackle by Na'il Diggs),2.190,1.300
2,10:49,2,15,SEA 49,3,7,Matt Hasselbeck pass complete short left to Justin Forsett for 5 yards (tackle by Chris Long),1.300,1.290
2,10:01,3,10,STL 46,3,7,Matt Hasselbeck pass complete short right to Brandon Stokley for 8 yards (tackle by Justin King),1.290,0.720
2,9:17,4,2,STL 38,3,7,Matt Hasselbeck pass incomplete short left intended for Michael Robinson,0.720,-1.530
2,9:12,1,10,STL 39,3,7,Sam Bradford middle for 6 yards (tackle by Raheem Brock),1.530,1.800
2,8:31,2,4,STL 45,3,7,"Sam Bradford pass complete short right to Daniel Fells for 14 yards (tackle by Earl Thomas). Penalty on Kenneth Darby: Offensive Holding, 10 yards",1.800,2.190
2,8:13,1,10,STL 49,3,7,Steven Jackson left guard for 1 yard (tackle by Marcus Trufant),2.190,1.780
