Quarter,Time,Tm,Detail,IND,PHI
1.0,10:05,Eagles,David Akers 34 yard field goal,0,3
,2:28,Colts,James Mungro 6 yard rush (Mike Vanderjagt kick),7,3
,0:00,Colts,Marvin Harrison 57 yard pass from Peyton Manning (Mike Vanderjagt kick),14,3
2.0,3:38,Eagles,David Akers 20 yard field goal,14,6
3.0,10:22,Colts,Reggie Wayne 27 yard pass from Peyton Manning (Mike Vanderjagt kick),21,6
,1:46,Colts,Marvin Harrison 43 yard pass from Peyton Manning (Mike Vanderjagt kick),28,6
4.0,6:29,Colts,James Mungro 10 yard rush (Mike Vanderjagt kick),35,6
,3:35,Eagles,Jeff Thomason 2 yard pass from Donovan McNabb (David Akers kick),35,13
