Quarter,Time,Down,ToGo,Location,IND,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Mike Vanderjagt kicks off 65 yards, returned by Brian Mitchell for 24 yards (tackle by Donnel Thompson)",0.000,0.870
1,14:55,1,10,PHI 29,0,0,Donovan McNabb pass incomplete intended for Todd Pinkston,0.870,0.330
1,14:50,2,10,PHI 29,0,0,Donovan McNabb pass incomplete intended for Duce Staley,0.330,-0.360
1,14:45,3,10,PHI 29,0,0,Donovan McNabb pass complete to Chad Lewis for 11 yards (tackle by David Thornton),-0.360,1.600
1,14:08,1,10,PHI 40,0,0,Dorsey Levens left tackle for 11 yards (tackle by Brad Scioli),1.600,2.320
1,13:35,1,10,IND 49,0,0,Duce Staley right guard for 11 yards (tackle by Walt Harris),2.320,3.050
1,12:57,1,10,IND 38,0,0,Donovan McNabb pass incomplete intended for James Thrash (defended by Walt Harris),3.050,2.510
1,12:52,2,10,IND 38,0,0,"Donovan McNabb pass complete to Duce Staley for no gain. Penalty on John Welbourn: Illegal Use of Hands, 10 yards (no play)",2.510,1.160
1,12:30,2,20,IND 48,0,0,Donovan McNabb pass complete to Antonio Freeman for 29 yards,1.160,4.310
1,12:14,1,10,IND 19,0,0,Brian Westbrook right guard for -1 yards (tackle by Rob Morris),4.310,3.630
1,11:35,2,11,IND 20,0,0,"Todd Pinkston for -15 yards (tackle by Dwight Freeney). Todd Pinkston fumbles (forced by Dwight Freeney), recovered by Todd Pinkston at IND-35. Todd Pinkston fumbles (forced by Dwight Freeney), recovered by Todd Pinkston at IND-35",3.630,0.960
1,10:50,3,26,IND 35,0,0,Donovan McNabb pass complete to Brian Westbrook for 18 yards (tackle by Walt Harris),0.960,2.310
1,10:09,4,8,IND 17,0,3,David Akers 34 yard field goal good,2.310,3.000
1,10:09,,,PHI 30,0,3,"David Akers kicks off 63 yards, returned by Troy Walters for 19 yards (tackle by Barry Gardner). Penalty on Sam Sword: Illegal Block Above the Waist, 10 yards",0.000,-0.140
1,10:00,1,10,IND 16,0,3,"James Mungro middle for no gain (tackle by Shawn Barber and Brian Dawkins). Penalty on Brandon Whiting: Defensive Offside, 5 yards (no play)",-0.140,0.740
1,9:36,1,5,IND 21,0,3,James Mungro middle for 49 yards (tackle by Bobby Taylor),0.740,3.580
1,8:55,1,10,PHI 30,0,3,James Mungro left end for 3 yards (tackle by Ike Reese),3.580,3.440
1,8:15,2,7,PHI 27,0,3,Peyton Manning pass incomplete intended for Jim Finn,3.440,2.740
1,8:11,3,7,PHI 27,0,3,Peyton Manning pass complete to Marvin Harrison for 9 yards (tackle by Troy Vincent),2.740,4.370
1,7:33,1,10,PHI 18,0,3,James Mungro left tackle for 7 yards (tackle by Corey Simon),4.370,5.010
1,6:51,2,3,PHI 11,0,3,"James Mungro right tackle for 6 yards (tackle by Michael Lewis). James Mungro fumbles (forced by Michael Lewis), recovered by Brian Dawkins at PHI-1 (tackle by Qadry Ismail)",5.010,0.380
1,6:44,1,10,PHI 1,0,3,Duce Staley middle for no gain (tackle by David Gibson),-0.380,-0.780
1,6:00,2,10,PHI 1,0,3,Donovan McNabb pass incomplete intended for James Thrash,-0.780,-1.420
1,5:55,3,10,PHI 1,0,3,Duce Staley right tackle for 2 yards (tackle by Dwight Freeney),-1.420,-2.490
1,5:19,4,8,PHI 3,0,3,"Sean Landeta punts 48 yards, returned by Troy Walters for 8 yards (tackle by Brian Mitchell)",-2.490,-2.720
1,5:09,1,10,PHI 43,0,3,Peyton Manning pass complete to Marvin Harrison for 11 yards (tackle by Troy Vincent),2.720,3.450
1,4:33,1,10,PHI 32,0,3,James Mungro right end for 6 yards (tackle by Troy Vincent),3.450,3.710
1,3:56,2,4,PHI 26,0,3,Peyton Manning pass complete to Qadry Ismail for 13 yards (tackle by Blaine Bishop),3.710,4.710
1,3:14,1,10,PHI 13,0,3,James Mungro right tackle for 7 yards (tackle by Ike Reese),4.710,5.340
1,2:33,2,3,PHI 6,6,3,"James Mungro left tackle for 6 yards, touchdown",5.340,7.000
1,2:33,,,PHI 6,7,3,Mike Vanderjagt kicks extra point good,0.000,0.000
1,2:33,,,IND 30,7,3,"Mike Vanderjagt kicks off 62 yards, returned by Brian Mitchell for 20 yards (tackle by David Thornton)",0.000,0.810
1,2:23,1,10,PHI 28,7,3,Donovan McNabb pass complete to Cecil Martin for no gain,0.810,0.260
1,1:49,2,10,PHI 28,7,3,Donovan McNabb pass incomplete intended for Jeff Thomason,0.260,-0.430
1,1:43,3,10,PHI 28,7,3,Donovan McNabb pass incomplete intended for Todd Pinkston,-0.430,-1.500
1,1:38,4,10,PHI 28,7,3,"Sean Landeta punts 53 yards, returned by Troy Walters for 9 yards (tackle by Michael Lewis)",-1.500,-0.810
1,1:28,1,10,IND 28,7,3,Peyton Manning pass complete to Marcus Pollard for 18 yards (tackle by Ike Reese),0.810,1.990
1,0:51,1,10,IND 46,7,3,Jim Finn right end for -3 yards (tackle by Corey Simon),1.990,1.050
1,0:08,2,13,IND 43,13,3,"Peyton Manning pass complete to Marvin Harrison for 57 yards, touchdown",1.050,7.000
1,0:08,,,PHI 43,14,3,Mike Vanderjagt kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,IND,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,,,,IND 30,14,3,"Mike Vanderjagt kicks off 60 yards, returned by Brian Mitchell for 22 yards (tackle by Clifton Crosby)",0.000,1.070
2,14:55,1,10,PHI 32,14,3,Dorsey Levens right tackle for 2 yards (tackle by Mike Peterson and Brad Scioli),1.070,0.800
