Unnamed: 0,IND,PHI
First Downs,18,21
Rush-Yds-TDs,35-127-2,22-105-0
Cmp-Att-Yd-TD-INT,18-23-319-3-0,27-48-281-1-0
Sacked-Yards,0-0,2-12
Net Pass Yards,319,269
Total Yards,446,374
Fumbles-Lost,1-1,3-2
Turnovers,1,2
Penalties-Yards,3-25,3-25
Third Down Conv.,7-13,4-14
Fourth Down Conv.,0-0,1-4
Time of Possession,30:38,29:22
