Unnamed: 0,TEN,IND
First Downs,18,24
Rush-Yds-TDs,31-93-0,20-83-1
Cmp-Att-Yd-TD-INT,23-34-265-3-2,27-51-231-3-2
Sacked-Yards,3-18,1-7
Net Pass Yards,247,224
Total Yards,340,307
Fumbles-Lost,1-0,2-1
Turnovers,2,3
Penalties-Yards,11-161,9-75
Third Down Conv.,8-17,7-16
Fourth Down Conv.,2-2,2-3
Time of Possession,34:59,30:58
