Quarter,Time,Tm,Detail,TEN,IND
1,8:41,Colts,Michael Pittman Jr. 2 yard pass from Carson Wentz (Michael Badgley kick),0,7
,7:44,Colts,Michael Pittman Jr. 7 yard pass from Carson Wentz (Michael Badgley kick),0,14
2,12:07,Titans,Geoff Swaim 6 yard pass from Ryan Tannehill (Randy Bullock kick),7,14
,4:13,Titans,A.J. Brown 57 yard pass from Ryan Tannehill (Randy Bullock kick),14,14
,0:00,Colts,Michael Badgley 34 yard field goal,14,17
3,7:42,Titans,Nick Westbrook-Ikhine 5 yard pass from Ryan Tannehill (Randy Bullock kick),21,17
,1:21,Colts,Jack Doyle 5 yard pass from Carson Wentz (Michael Badgley kick),21,24
4,11:15,Titans,Randy Bullock 46 yard field goal,24,24
,1:26,Titans,Elijah Molden 2 yard interception return (Randy Bullock kick),31,24
,0:22,Colts,Jonathan Taylor 1 yard rush (Michael Badgley kick),31,31
OT,4:03,Titans,Randy Bullock 44 yard field goal,34,31
