Unnamed: 0,HOU,IND
First Downs,14,24
Rush-Yds-TDs,31-171-1,32-95-0
Cmp-Att-Yd-TD-INT,13-16-132-0-0,23-41-244-1-0
Sacked-Yards,4-20,3-19
Net Pass Yards,112,225
Total Yards,283,320
Fumbles-Lost,2-1,2-1
Turnovers,1,1
Penalties-Yards,11-84,4-35
Third Down Conv.,1-10,7-17
Fourth Down Conv.,0-0,0-0
Time of Possession,27:05,32:55
