Unnamed: 0,DAL,IND
First Downs,11,20
Rush-Yds-TDs,18-84-0,34-110-0
Cmp-Att-Yd-TD-INT,11-23-131-0-0,29-38-252-2-1
Sacked-Yards,5-37,0-0
Net Pass Yards,94,252
Total Yards,178,362
Fumbles-Lost,2-2,1-0
Turnovers,2,1
Penalties-Yards,4-30,7-35
Third Down Conv.,1-10,6-17
Fourth Down Conv.,0-0,1-1
Time of Possession,19:57,40:03
